DocNo,sentence,tag
D1,anomalies,I-vulnerability
,,
D1,Preprocessor,B-tool
D1,can,O
D1,modify,O
D1,packet,B-data
D1,data,I-data
,,
D1,Snort,B-tool
D1,has,O
D1,Detection,B-tool
D1,Engine,I-tool
,,
D1,Detection,B-tool
D1,Engine,I-tool
D1,detects,B-technique
D1,intrusion,B-attack
D1,in,O
D1,packet,B-data
,,
D1,Detection,B-tool
D1,Engine,I-tool
D1,chains,O
D1,the,O
D1,rules,B-function
,,
D1,Snort,B-tool
D1,has,O
D1,Log,B-tool
D1,Alert,I-tool
D1,system,I-tool
,,
D1,Snort,B-tool
D1,has,O
D1,Output,B-tool
D1,Module,I-tool
,,
D1,Output,B-tool
D1,Module,I-tool
D1,controls,O
D1,output,B-feature
D1,type,B-feature
,,
D1,Output,B-tool
D1,Module,I-tool
D1,sends,O
D1,alerts,B-feature
,,
D1,Snort,B-tool
D1,set,O
D1,into,O
D1,Sniff,B-feature
D1,mode,I-feature
,,
D1,Snort,B-tool
D1,can,O
D1,sniff,B-technique
D1,the,O
D1,Ingress,B-feature
,,
D1,Snort,B-tool
D1,can,O
D1,sniff,B-technique
D1,the,O
D1,Egress,B-feature
,,
D1,Ingress,B-feature
D1,captures,O
D1,incoming,B-data
D1,traffic,I-data
,,
D1,Snort,B-tool
D1,sniffs,B-technique
D1,firewall,B-data
D1,traffic,I-data
,,
D1,Snort,B-tool
D1,has,O
D1,packet,B-tool
D1,logger,I-tool
,,
D1,The,O
D1,packet,B-tool
D1,logger,I-tool
D1,collects,O
D1,data,B-data
D1,as,O
D1,file,B-data
,,
D1,Snort,B-tool
D1,can,O
D1,output,O
D1,tcpdump,B-data
D1,pcap,I-data
,,
D1,Snort,B-tool
D1,can,O
D1,output,O
D1,unified2,B-tool
,,
D1,Wireshark,B-tool
D1,can,O
D1,read,O
D1,tcpdump,B-data
D1,pcap,I-data
,,
D1,Detection,B-tool
D1,alert,I-tool
D1,is,O
D1,added,O
D1,to,O
D1,IP,B-data
D1,packets,I-data
,,
D1,Snort,B-function
D1,rules,I-function
D1,is,O
D1,tested,O
D1,using,O
D1,icmp,B-function
D1,rules,I-function
,,
D1,Snort,B-function
D1,rules,I-function
D1,is,O
D1,tested,O
D1,using,O
D1,system,B-data
D1,variables,I-data
,,
D1,system,B-data
D1,variables,I-data
D1,can,O
D1,be,O
D1,edited,O
D1,in,O
D1,conf,B-data
D1,file,I-data
,,
D1,system,B-data
D1,variables,I-data
D1,can,O
D1,be,O
D1,set,O
D1,as,O
D1,home,B-system
D1,network,I-system
,,
D1,system,B-data
D1,variables,I-data
D1,can,O
D1,be,O
D1,set,O
D1,external,B-system
D1,network,I-system
,,
D1,Snort,B-function
D1,rules,I-function
D1,is,O
D1,tested,O
D1,using,O
D1,payload,B-feature
D1,options,I-feature
,,
D1,payload,B-feature
D1,options,I-feature
D1,shows,O
D1,captured,O
D1,data,B-data
,,
D1,Snort,B-function
D1,rules,I-function
D1,is,O
D1,tested,O
D1,using,O
D1,non,B-feature
D1,payload,I-feature
D1,options,I-feature
,,
D1,Network,B-system
D1,is,O
D1,set,O
D1,as,O
D1,client,B-system
D1,gateway,I-system
D1,server,I-system
,,
D1,Packet,B-feature
D1,forwarding,I-feature
D1,enabled,O
D1,on,O
D1,Gateway,B-system
,,
D1,Firewall,B-tool
D1,set,O
D1,to,O
D1,sniff,B-technique
D1,server,B-system
,,
D1,Firewall,B-tool
D1,disabled,O
D1,for,O
D1,testing,B-function
,,
D1,Blacklist,B-feature
D1,enabled,O
D1,for,O
D1,testing,B-function
,,
D1,Land,B-attack
D1,Attack,I-attack
D1,sends,O
D1,spoofed,B-vulnerability
D1,TCP,B-data
D1,SYN,I-data
D1,Packets,I-data
,,
D2,Nmap,B-tool
D2,is,O
D2,an,O
D2,open,B-feature
D2,source,I-feature
D2,tool,B-tool
,,
D2,Nmap,B-tool
D2,is,O
D2,used,O
D2,for,O
D2,network,B-technique
D2,discovery,I-technique
,,
D2,Nmap,B-tool
D2,is,O
D2,used,O
D2,for,O
D2,security,B-technique
D2,auditing,I-technique
,,
D2,Nmap,B-tool
D2,displays,O
D2,exposed,B-vulnerability
D2,services,B-app
D2,on,O
D2,a,O
D2,target,B-system
D2,machine,I-system
D2,along,O
D2,with,O
D2,other,O
D2,useful,O
D2,information,B-data
D2,such,O
D2,as,O
D2,the,O
D2,version,B-technique
D2,and,O
D2,OS,B-technique
D2,detection,I-technique
,,
D2,Use,O
D2,nmap,B-tool
D2,to,O
D2,send,O
D2,customized,O
D2,packets,B-data
D2,for,O
D2,network,B-technique
D2,diagnostic,I-technique
D2,and,O
D2,testing,B-function
,,
D2,Use,O
D2,nmap,B-tool
D2,to,O
D2,send,O
D2,customized,O
D2,packets,B-data
D2,for,O
D2,emulating,O
D2,attacks,B-attack
,,
D2,Nmap,B-tool
D2,is,O
D2,a,O
D2,network,B-feature
D2,mapper,I-feature
D2,that,O
D2,has,O
D2,emerged,O
D2,as,O
D2,one,O
D2,of,O
D2,the,O
D2,most,O
D2,popular,O
D2,free,O
D2,network,B-technique
D2,discovery,I-technique
D2,tools,B-tool
D2,on,O
D2,the,O
D2,market,O
,,
D2,Nmap,B-tool
D2,is,O
D2,now,O
D2,one,O
D2,of,O
D2,the,O
D2,core,O
D2,tools,B-tool
D2,used,O
D2,by,O
D2,network,B-securityTeam
D2,administrators,I-securityTeam
D2,to,O
D2,map,B-function
D2,their,O
D2,networks,B-system
,,
D2,The,O
D2,program,B-function
D2,can,O
D2,find,O
D2,live,B-system
D2,hosts,I-system
D2,on,O
D2,a,O
D2,network,B-system
D2,perform,O
D2,port,B-technique
D2,scanning,I-technique
D2,ping,B-technique
D2,sweeps,I-technique
D2,OS,B-technique
D2,detection,I-technique
D2,and,O
D2,version,B-technique
D2,detection,I-technique
,,
D2,What,O
D2,is,O
D2,Nmap,B-tool
,,
D2,Nmap,B-tool
D2,is,O
D2,a,O
D2,network,B-technique
D2,scanning,I-technique
D2,tool,B-tool
D2,that,O
D2,uses,O
D2,IP,B-data
D2,packets,I-data
D2,to,O
D2,identify,O
D2,all,O
D2,the,O
D2,devices,B-system
D2,connected,O
D2,to,O
D2,a,O
D2,network,B-system
D2,and,O
D2,provide,O
D2,information,B-data
D2,on,O
D2,the,O
D2,services,B-app
D2,and,O
D2,operating,B-system
D2,systems,I-system
D2,they,O
D2,are,O
D2,running,O
,,
D2,The,O
D2,program,O
D2,is,O
D2,most,O
D2,commonly,O
D2,used,O
D2,via,O
D2,a,O
D2,command-line,B-tool
D2,interface,I-tool
D2,though,O
D2,GUI,B-tool
D2,front-ends,I-tool
D2,are,O
D2,also,O
D2,available,O
,,
D2,It,O
D2,is,O
D2,available,O
D2,for,O
D2,many,O
D2,different,O
D2,operating,B-system
D2,systems,I-system
D2,such,O
D2,as,O
D2,Linux,B-system
D2,Free,B-system
D2,BSD,I-system
D2,and,O
D2,Gentoo,B-system
,,
D2,Nmap,B-tool
D2,was,O
D2,developed,O
D2,for,O
D2,enterprise-scale,B-system
D2,networks,I-system
D2,and,O
D2,can,O
D2,scan,B-function
D2,through,O
D2,thousands,O
D2,of,O
D2,connected,B-system
D2,devices,I-system
,,
D2,Moreover,O
D2,Nmap,B-tool
D2,has,O
D2,been,O
D2,increasingly,O
D2,used,O
D2,to,O
D2,inspect,O
D2,IoT,B-technique
D2,security,I-technique
,,
D2,Nmap,B-tool
D2,provides,O
D2,information,B-data
D2,on,O
D2,every,O
D2,active,B-feature
D2,IP,B-feature
D2,so,O
D2,you,O
D2,can,O
D2,determine,O
D2,if,O
D2,an,O
D2,IP,B-feature
D2,is,O
D2,being,O
D2,used,O
D2,by,O
D2,a,O
D2,legitimate,B-feature
D2,service,B-app
D2,or,O
D2,an,O
D2,external,B-attacker
D2,attacker,I-attacker
,,
D2,Your,O
D2,network,B-system
D2,as,O
D2,a,O
D2,whole,O
D2,including,O
D2,live,B-system
D2,hosts,I-system
D2,open,B-feature
D2,ports,I-feature
D2,and,O
D2,the,O
D2,OS,B-system
D2,of,O
D2,every,O
D2,connected,B-system
D2,device,I-system
,,
D2,Vulnerabilities,B-vulnerability
D2,scan,B-function
D2,your,O
D2,own,O
D2,server,B-system
D2,to,O
D2,simulate,O
D2,the,O
D2,process,B-technique
D2,that,O
D2,a,O
D2,hacker,B-attacker
D2,would,O
D2,use,O
D2,to,O
D2,attack,B-attack
D2,your,O
D2,site,B-system
,,
D2,The,O
D2,primary,O
D2,uses,O
D2,of,O
D2,Nmap,B-tool
D2,can,O
D2,be,O
D2,broken,O
D2,into,O
D2,three,O
D2,core,O
D2,processes,B-technique
,,
D2,First,O
D2,the,O
D2,program,O
D2,gives,O
D2,you,O
D2,detailed,O
D2,information,B-data
D2,on,O
D2,every,O
D2,IP,B-feature
D2,active,B-feature
D2,on,O
D2,your,O
D2,networks,B-system
D2,and,O
D2,each,O
D2,IP,B-feature
D2,can,O
D2,then,O
D2,be,O
D2,scanned,B-function
,,
D2,This,O
D2,allows,O
D2,administrators,B-securityTeam
D2,to,O
D2,check,O
D2,whether,O
D2,an,O
D2,IP,B-feature
D2,is,O
D2,being,O
D2,used,O
D2,by,O
D2,a,O
D2,legitimate,B-feature
D2,service,I-feature
D2,or,O
D2,an,O
D2,external,B-attacker
D2,attacker,I-attacker
,,
D2,Secondly,O
D2,Nmap,B-tool
D2,provides,O
D2,information,B-data
D2,on,O
D2,your,O
D2,network,B-system
D2,as,O
D2,a,O
D2,whole,O
,,
D2,It,O
D2,can,O
D2,be,O
D2,used,O
D2,to,O
D2,provide,O
D2,a,O
D2,list,O
D2,of,O
D2,live,B-system
D2,hosts,I-system
D2,and,O
D2,open,B-feature
D2,ports,I-feature
D2,and,O
D2,identify,O
D2,the,O
D2,OS,B-system
D2,of,O
D2,every,O
D2,connected,B-system
D2,device,I-system
,,
D2,This,O
D2,makes,O
D2,it,O
D2,a,O
D2,valuable,O
D2,tool,B-tool
D2,in,O
D2,ongoing,O
D2,system,B-technique
D2,monitoring,I-technique
D2,and,O
D2,a,O
D2,critical,O
D2,part,O
D2,of,O
D2,pentesting,B-technique
,,
D2,Nmap,B-tool
D2,can,O
D2,be,O
D2,used,O
D2,alongside,O
D2,the,O
D2,Metasploit,B-tool
D2,framework,I-tool
D2,for,O
D2,instance,O
D2,to,O
D2,probe,B-technique
D2,and,O
D2,then,O
D2,repair,O
D2,network,B-vulnerability
D2,vulnerabilities,I-vulnerability
,,
D2,Thirdly,O
D2,Nmap,B-tool
D2,has,O
D2,also,O
D2,become,O
D2,a,O
D2,valuable,O
D2,tool,B-tool
D2,for,O
D2,users,B-user
D2,looking,O
D2,to,O
D2,protect,O
D2,personal,B-system
D2,and,O
D2,business,B-system
D2,websites,I-system
,,
D2,Using,O
D2,Nmap,B-tool
D2,to,O
D2,scan,B-technique
D2,your,O
D2,own,O
D2,web,B-system
D2,server,I-system
D2,particularly,O
D2,if,O
D2,you,O
D2,are,O
D2,hosting,B-feature
D2,your,O
D2,website,B-system
D2,from,O
D2,home,B-system
D2,is,O
D2,essentially,O
D2,simulating,O
D2,a,O
D2,hacker,B-attacker
D2,process,B-technique
D2,to,O
D2,attack,B-attack
D2,your,O
D2,site,B-system
,,
D2,Attacking,B-attack
D2,your,O
D2,own,O
D2,site,B-system
D2,in,O
D2,this,O
D2,way,O
D2,is,O
D2,a,O
D2,powerful,O
D2,way,O
D2,of,O
D2,identifying,O
D2,security,B-vulnerability
D2,vulnerabilities,I-vulnerability
,,
D2,Nmap,B-tool
D2,is,O
D2,straightforward,O
D2,to,O
D2,use,O
D2,and,O
D2,most,O
D2,of,O
D2,the,O
D2,tools,B-tool
D2,it,O
D2,provides,O
D2,are,O
D2,familiar,O
D2,to,O
D2,system,B-securityTeam
D2,admins,I-securityTeam
D2,from,O
D2,other,O
D2,programs,B-function
,,
D2,Nmap,B-tool
D2,advantage,O
D2,is,O
D2,that,O
D2,it,O
D2,brings,O
D2,a,O
D2,wide,O
D2,range,O
D2,of,O
D2,these,O
D2,tools,B-tool
D2,into,O
D2,one,O
D2,program,B-function
D2,rather,O
D2,than,O
D2,forcing,O
D2,you,O
D2,to,O
D2,skip,O
D2,between,O
D2,separate,O
D2,and,O
D2,discrete,O
D2,network,B-technique
D2,monitoring,I-technique
D2,tools,B-tool
,,
D2,To,O
D2,use,O
D2,Nmap,B-tool
D2,you,O
D2,need,O
D2,to,O
D2,be,O
D2,familiar,O
D2,with,O
D2,command-line,B-tool
D2,interfaces,I-tool
,,
D2,Most,O
D2,advanced,O
D2,users,B-user
D2,can,O
D2,write,O
D2,scripts,B-function
D2,to,O
D2,automate,B-feature
D2,common,O
D2,tasks,O
D2,but,O
D2,this,O
D2,is,O
D2,unnecessary,O
D2,for,O
D2,basic,O
D2,network,B-technique
D2,monitoring,I-technique
,,
D2,TCP,B-technique
D2,Full,I-technique
D2,Connect,I-technique
D2,Vanilla,I-technique
D2,Scan,I-technique
,,
D2,we,O
D2,assume,O
D2,that,O
D2,the,O
D2,scanning,B-technique
D2,target�s,B-system
D2,IP,B-feature
D2,address,I-feature
,,
D2,TCP,B-technique
D2,Connect,I-technique
D2,scan,I-technique
D2,completes,O
D2,the,O
D2,3-way,B-technique
D2,handshake,I-technique
,,
D2,If,O
D2,a,O
D2,port,B-feature
D2,is,O
D2,open,B-feature
D2,the,O
D2,operating,B-system
D2,system,I-system
D2,completed,O
D2,the,O
D2,TCP,B-feature
D2,three-way,B-technique
D2,handshake,I-technique
D2,and,O
D2,the,O
D2,port,B-tool
D2,scanner,I-tool
D2,immediately,O
D2,closes,O
D2,the,O
D2,connection,B-feature
D2,to,O
D2,avoid,O
D2,DOS,B-attack
,,
D2,This,O
D2,is,O
D2,noisy,B-feature
D2,because,O
D2,the,O
D2,services,B-feature
D2,can,O
D2,log,B-function
D2,the,O
D2,sender,B-system
D2,IP,B-feature
D2,address,I-feature
D2,and,O
D2,trigger,O
D2,Intrusion,B-tool
D2,Detection,I-tool
D2,Systems,I-tool
,,
D2,the,O
D2,Full,B-technique
D2,scan,I-technique
D2,has,O
D2,the,O
D2,following,O
D2,features,O
,,
D2,Attempts,O
D2,to,O
D2,completes,O
D2,3-way,B-technique
D2,handshake,I-technique
D2,with,O
D2,each,O
D2,scanned,B-vulnerability
D2,port,B-feature
,,
D2,Sends,B-function
D2,SYN,B-feature
D2,and,O
D2,waits,O
D2,for,O
D2,ACK,B-feature
D2,before,O
D2,sending,B-function
D2,ACK,B-feature
,,
D2,Tears,B-feature
D2,down,I-feature
D2,connection,B-feature
D2,using,O
D2,FIN,B-data
D2,packets,I-data
,,
D2,If,O
D2,target,B-feature
D2,port,I-feature
D2,is,O
D2,closed,B-feature
D2,sender,B-system
D2,will,O
D2,received,B-function
D2,either,O
D2,no,O
D2,response,B-feature
D2,a,O
D2,RESET,B-data
D2,packet,I-data
D2,or,O
D2,an,O
D2,ICMP,B-data
D2,Port,I-data
D2,Unreachable,I-data
D2,packet,I-data
,,
D2,Not,O
D2,stealthy,B-vulnerability
D2,the,O
D2,connection,B-feature
D2,request,I-feature
D2,can,O
D2,be,O
D2,logged,B-function
,,
D2,UDP,B-technique
D2,scan,I-technique
D2,checks,O
D2,to,O
D2,see,O
D2,if,O
D2,any,O
D2,UDP,B-feature
D2,ports,I-feature
D2,are,O
D2,listening,B-feature
,,
D2,Since,O
D2,UDP,B-feature
D2,does,O
D2,not,O
D2,respond,B-feature
D2,with,O
D2,a,O
D2,positive,B-feature
D2,acknowledgment,I-feature
D2,like,O
D2,TCP,B-feature
D2,and,O
D2,only,O
D2,responds,B-feature
D2,to,O
D2,an,O
D2,incoming,B-feature
D2,UDP,B-data
D2,packet,I-data
D2,when,O
D2,the,O
D2,port,B-feature
D2,is,O
D2,closed,B-feature
D2,this,O
D2,type,O
D2,of,O
D2,scan,B-technique
D2,can,O
D2,sometimes,O
D2,show,O
D2,FALSE,B-feature
D2,positives,I-feature
,,
D2,However,O
D2,it,O
D2,can,O
D2,also,O
D2,reveal,B-feature
D2,Trojan,B-attack
D2,horses,I-attack
D2,running,O
D2,on,O
D2,high,B-feature
D2,UDP,I-feature
D2,ports,I-feature
D2,and,O
D2,hidden,B-vulnerability
D2,RPC,I-vulnerability
D2,services,I-vulnerability
,,
D2,It,O
D2,may,O
D2,be,O
D2,quite,O
D2,slow,O
D2,since,O
D2,some,O
D2,machines,B-system
D2,intentionally,O
D2,slow,B-feature
D2,down,I-feature
D2,responses,I-feature
D2,to,O
D2,this,O
D2,kind,O
D2,of,O
D2,traffic,B-data
D2,to,O
D2,avoid,O
D2,being,O
D2,overwhelmed,O
,,
D2,Machines,B-system
D2,running,O
D2,Windows,B-system
D2,OS,I-system
D2,however,O
D2,do,O
D2,not,O
D2,implement,O
D2,this,O
D2,slowdown,B-feature
D2,feature,I-feature
D2,so,O
D2,you,O
D2,should,O
D2,use,O
D2,UDP,B-feature
D2,to,O
D2,scan,B-technique
D2,Windows,B-system
D2,hosts,B-system
D2,normally,O
,,
D2,The,O
D2,UDP,B-technique
D2,Scan,I-technique
D2,sends,O
D2,a,O
D2,UDP,B-data
D2,packet,I-data
D2,to,O
D2,target,B-feature
D2,ports,I-feature
D2,to,O
D2,determine,O
D2,if,O
D2,a,O
D2,UDP,B-feature
D2,service,I-feature
D2,is,O
D2,listening,B-feature
,,
D2,If,O
D2,the,O
D2,target,B-system
D2,system,I-system
D2,returns,O
D2,an,O
D2,ICMP,B-data
D2,Port,I-data
D2,Unreachable,I-data
D2,message,I-data
D2,the,O
D2,target,B-feature
D2,port,I-feature
D2,is,O
D2,closed,B-feature
D2,Otherwise,O
D2,the,O
D2,target,B-feature
D2,port,I-feature
D2,is,O
D2,assumed,O
D2,to,O
D2,be,O
D2,open,B-feature
,,
D2,UDP,B-technique
D2,scan,I-technique
D2,is,O
D2,unreliable,O
D2,since,O
D2,there,O
D2,may,O
D2,be,O
D2,FALSE,B-feature
D2,positives,I-feature
,,
D2,The,O
D2,UDP,B-technique
D2,scan,I-technique
D2,can,O
D2,be,O
D2,very,O
D2,slow,B-feature
D2,due,O
D2,to,O
D2,the,O
D2,following,O
D2,reasons,O
,,
D2,Open,B-feature
D2,and,O
D2,filtered,B-feature
D2,ports,I-feature
D2,rarely,O
D2,send,B-function
D2,any,O
D2,response,B-feature
D2,leaving,O
D2,Nmap,B-tool
D2,to,O
D2,time,B-feature
D2,out,I-feature
,,
D2,Closed,B-feature
D2,ports,I-feature
D2,usually,O
D2,send,O
D2,back,O
D2,an,O
D2,ICMP,B-data
D2,port,I-data
D2,unreachable,I-data
D2,error,I-data
D2,But,O
D2,many,O
D2,hosts,B-system
D2,rate,B-technique
D2,limit,I-technique
D2,ICMP,B-data
D2,port,I-data
D2,unreachable,I-data
D2,messages,I-data
D2,by,O
D2,default,B-feature
D2,eg,O
D2,1/sec,O
,,
D2,To,O
D2,speed,O
D2,up,O
D2,the,O
D2,UDP,B-technique
D2,scan,I-technique
D2,Increase,O
D2,host,B-feature
D2,parallelism,O
D2,use,B-feature
D2,min-hostgroup,I-feature
D2,to,O
D2,scan,B-technique
D2,multiple,O
D2,hosts,B-system
D2,at,O
D2,once,O
,,
D2,Scan,B-technique
D2,popular,O
D2,ports,B-feature
D2,first,O
D2,using,O
D2,the,O
D2,F,O
D2,option,O
D2,to,O
D2,scan,B-technique
D2,the,O
D2,most,O
D2,common,O
D2,UDP,B-feature
D2,ports,I-feature
,,
D2,Add,O
D2,version-intensity,B-feature
D2,0,O
D2,to,O
D2,version,B-technique
D2,detection,I-technique
D2,scans,B-technique
,,
D2,Scan,B-technique
D2,from,O
D2,behind,B-feature
D2,the,I-feature
D2,firewall,I-feature
,,
D2,Use,O
D2,host-timeout,B-feature
D2,to,O
D2,skip,O
D2,slow,B-system
D2,hosts,I-system
,,
D2,Use,O
D2,v,O
D2,verbosity,B-feature
D2,and,O
D2,chill,B-feature
D2,out,I-feature
D2,Nmap,B-tool
D2,provides,O
D2,estimated,O
D2,time,O
D2,for,O
D2,scan,B-technique
D2,completion,O
D2,of,O
D2,each,O
D2,host,B-system
,,
D2,SYN,B-technique
D2,scan,I-technique
D2,is,O
D2,another,O
D2,form,O
D2,of,O
D2,TCP,B-technique
D2,scanning,I-technique
,,
D2,Rather,O
D2,than,O
D2,using,O
D2,the,O
D2,operating,B-system
D2,system�s,I-system
D2,network,B-function
D2,functions,I-function
D2,the,O
D2,port,B-tool
D2,scanner,I-tool
D2,generates,O
D2,raw,B-data
D2,IP,I-data
D2,packets,I-data
D2,and,O
D2,monitors,B-technique
D2,for,O
D2,responses,B-feature
,,
D2,This,O
D2,scan,B-technique
D2,type,O
D2,is,O
D2,also,O
D2,known,O
D2,as,O
D2,half-open,B-technique
D2,scanning,I-technique
D2,because,O
D2,it,O
D2,never,O
D2,actually,O
D2,opens,B-feature
D2,a,O
D2,full,B-feature
D2,TCP,I-feature
D2,connection,I-feature
,,
D2,The,O
D2,port,B-tool
D2,scanner,I-tool
D2,generates,O
D2,a,O
D2,SYN,B-data
D2,packet,I-data
,,
D2,If,O
D2,the,O
D2,target,B-feature
D2,port,I-feature
D2,is,O
D2,open,B-feature
D2,it,O
D2,will,O
D2,respond,B-feature
D2,with,O
D2,an,O
D2,SYN-ACK,B-data
D2,packet,I-data
,,
D2,The,O
D2,scanner,B-tool
D2,host,B-system
D2,responds,B-feature
D2,with,O
D2,an,O
D2,RST,B-data
D2,packet,I-data
D2,closing,B-feature
D2,the,O
D2,connection,B-feature
D2,before,O
D2,the,O
D2,handshake,B-technique
D2,is,O
D2,completed,O
,,
D2,If,O
D2,the,O
D2,port,B-feature
D2,is,O
D2,closed,B-feature
D2,but,O
D2,unfiltered,B-feature
D2,the,O
D2,target,B-system
D2,will,O
D2,instantly,O
D2,respond,B-feature
D2,with,O
D2,an,O
D2,RST,B-data
D2,packet,I-data
,,
D2,There,O
D2,is,O
D2,debate,O
D2,over,O
D2,which,O
D2,scan,B-technique
D2,is,O
D2,less,O
D2,intrusive,B-attack
D2,on,O
D2,the,O
D2,target,B-system
D2,host,I-system
,,
D2,SYN,B-technique
D2,scan,I-technique
D2,has,O
D2,the,O
D2,advantage,O
D2,that,O
D2,the,O
D2,individual,O
D2,services,B-feature
D2,never,O
D2,actually,O
D2,receive,B-function
D2,a,O
D2,connection,B-feature
,,
D2,Only,O
D2,sends,O
D2,the,O
D2,initial,O
D2,SYN,B-feature
D2,and,O
D2,waits,O
D2,for,O
D2,ACK,B-feature
D2,to,O
D2,detect,B-technique
D2,open,B-feature
D2,port,I-feature
,,
D2,SYN,B-technique
D2,scans,I-technique
D2,stop,O
D2,two-thirds,O
D2,of,O
D2,the,O
D2,way,O
D2,through,O
D2,the,O
D2,3-way,B-technique
D2,handshake,I-technique
D2,aka,O
D2,half-open,B-technique
D2,scan,I-technique
,,
D2,Attacker,B-attacker
D2,sends,O
D2,a,O
D2,RESET,B-feature
D2,RST,I-feature
D2,after,O
D2,receiving,B-feature
D2,an,O
D2,SYN-ACK,B-feature
D2,response,I-feature
,,
D2,A,O
D2,TRUE,O
D2,connection,B-feature
D2,is,O
D2,never,O
D2,established,B-feature
D2,thus,O
D2,the,O
D2,target,B-system
D2,may,O
D2,not,O
D2,log,B-function
D2,the,O
D2,connection,B-feature
,,
D2,Faster,O
D2,and,O
D2,stealthier,B-vulnerability
D2,than,O
D2,a,O
D2,full,B-technique
D2,TCP,I-technique
D2,Connect,I-technique
D2,scans,I-technique
,,
D2,If,O
D2,the,O
D2,target,B-feature
D2,port,I-feature
D2,is,O
D2,closed,B-feature
D2,the,O
D2,destination,B-system
D2,will,O
D2,send,O
D2,a,O
D2,RESET,B-feature
D2,or,O
D2,nothing,O
,,
D2,SYN,B-attack
D2,flood,I-attack
D2,may,O
D2,cause,O
D2,accidental,B-attack
D2,denial-of-service,B-attack
D2,attacks,I-attack
D2,if,O
D2,the,O
D2,target,B-system
D2,is,O
D2,slow,B-feature
,,
D2,FIN,B-technique
D2,scan,I-technique
D2,is,O
D2,a,O
D2,stealthy,B-technique
D2,scan,I-technique
D2,like,O
D2,the,O
D2,SYN,B-technique
D2,scan,I-technique
D2,but,O
D2,sends,B-function
D2,a,O
D2,TCP,B-data
D2,FIN,I-data
D2,packet,I-data
D2,instead,O
,,
D2,Most,O
D2,but,O
D2,not,O
D2,all,O
D2,computers,O
D2,will,O
D2,send,O
D2,an,O
D2,RST,B-data
D2,packet,I-data
D2,back,O
D2,if,O
D2,they,O
D2,get,O
D2,this,O
D2,input,B-feature
D2,so,O
D2,that,O
D2,the,O
D2,FIN,B-technique
D2,scan,I-technique
D2,can,O
D2,show,O
D2,FALSE,B-feature
D2,positives,I-feature
D2,and,O
D2,negatives,B-feature
D2,but,O
D2,it,O
D2,may,O
D2,get,O
D2,under,O
D2,the,O
D2,radar,O
D2,of,O
D2,some,O
D2,IDS,B-tool
D2,programs,B-function
D2,and,O
D2,other,O
D2,countermeasures,O
,,
D2,Ack,B-technique
D2,scanning,I-technique
D2,determines,O
D2,whether,O
D2,the,O
D2,port,B-feature
D2,is,O
D2,filtered,B-feature
D2,or,O
D2,not,O
