,Unnamed: 0,Unnamed: 0.1,sentence,tag,entity,relation
62,62,62,Packet Decoder , tool ,"('Packet Decoder ', ' tool ')",can_analyze
63,63,63,header anomalies , vulnerability ,"('header anomalies ', ' vulnerability ')",
64,64,64, ,blank, ,
65,65,65,Snort , tool,"('Snort ', ' tool')",is_part_of
66,66,66,Preprocessor , tool,"('Preprocessor ', ' tool')",
67,67,67, ,blank, ,
68,68,68,Preprocessor , tool,"('Preprocessor ', ' tool')",can_analyze
69,69,69,HTTP anomalies , vulnerability ,"('HTTP anomalies ', ' vulnerability ')",
70,70,70, ,blank, ,
71,71,71,Preprocessor , tool,"('Preprocessor ', ' tool')",can_analyze
72,72,72,FTP anomalies , vulnerability ,"('FTP anomalies ', ' vulnerability ')",
73,73,73, ,blank, ,
74,74,74,Preprocessor , tool,"('Preprocessor ', ' tool')",can_analyze
75,75,75,packet data , data ,"('packet data ', ' data ')",
76,76,76, ,blank, ,
77,77,77,Snort , tool,"('Snort ', ' tool')",is_part_of
78,78,78,Detection Engine , tool ,"('Detection Engine ', ' tool ')",
79,79,79, ,blank, ,
80,80,80,Detection Engine , tool ,"('Detection Engine ', ' tool ')",uses
81,81,81,detects , technique,"('detects ', ' technique')",can_detect
82,82,82,intrusion , attack,"('intrusion ', ' attack')",can_harm
83,83,83,packet , data,"('packet ', ' data')",
84,84,84, ,blank, ,
85,85,85,Detection Engine , tool ,"('Detection Engine ', ' tool ')",has_a
86,86,86,rules , function,"('rules ', ' function')",
87,87,87, ,blank, ,
88,88,88,Snort , tool,"('Snort ', ' tool')",is_part_of
89,89,89,Log Alert system , tool  ,"('Log Alert system ', ' tool  ')",
90,90,90, ,blank, ,
91,91,91,Snort , tool,"('Snort ', ' tool')",is_part_of
92,92,92,Output Module , tool ,"('Output Module ', ' tool ')",
93,93,93, ,blank, ,
94,94,94,Output Module , tool ,"('Output Module ', ' tool ')",has_a
95,95,95,output , feature,"('output ', ' feature')",
96,96,96,type , feature,"('type ', ' feature')",
97,97,97, ,blank, ,
98,98,98,Output Module , tool ,"('Output Module ', ' tool ')",has_a
99,99,99,alerts , feature,"('alerts ', ' feature')",
100,100,100, ,blank, ,
101,101,101,Snort , tool,"('Snort ', ' tool')",has_a
102,102,102,Sniff mode , feature ,"('Sniff mode ', ' feature ')",
103,103,103, ,blank, ,
104,104,104,Snort , tool,"('Snort ', ' tool')",uses
105,105,105,sniff , technique,"('sniff ', ' technique')",
106,106,106,Ingress , feature,"('Ingress ', ' feature')",
107,107,107, ,blank, ,
108,108,108,Snort , tool,"('Snort ', ' tool')",uses
109,109,109,sniff , technique,"('sniff ', ' technique')",
110,110,110,Egress , feature,"('Egress ', ' feature')",
111,111,111, ,blank, ,
112,112,112,Ingress , feature,"('Ingress ', ' feature')",can_analyze
113,113,113,incoming traffic , data ,"('incoming traffic ', ' data ')",
114,114,114, ,blank, ,
115,115,115,Snort , tool,"('Snort ', ' tool')",uses
116,116,116,sniffs , technique,"('sniffs ', ' technique')",
117,117,117,firewall traffic , data ,"('firewall traffic ', ' data ')",
118,118,118, ,blank, ,
119,119,119,Snort , tool,"('Snort ', ' tool')",is_part_of
120,120,120,packet logger , tool ,"('packet logger ', ' tool ')",
121,121,121, ,blank, ,
122,122,122,packet logger , tool ,"('packet logger ', ' tool ')",can_analyze
123,123,123,data , data,"('data ', ' data')",
124,124,124,file , data,"('file ', ' data')",
125,125,125, ,blank, ,
126,126,126,Snort , tool,"('Snort ', ' tool')",can_analyze
127,127,127,tcpdump pcap , data ,"('tcpdump pcap ', ' data ')",
128,128,128, ,blank, ,
129,129,129,Snort , tool,"('Snort ', ' tool')",is_part_of
130,130,130,unified2 , tool,"('unified2 ', ' tool')",
131,131,131, ,blank, ,
132,132,132,Wireshark , tool,"('Wireshark ', ' tool')",can_analyze
133,133,133,tcpdump pcap , data ,"('tcpdump pcap ', ' data ')",
134,134,134, ,blank, ,
135,135,135,Detection alert , tool ,"('Detection alert ', ' tool ')",can_analyze
136,136,136,IP packets , data ,"('IP packets ', ' data ')",
137,137,137, ,blank, ,
138,138,138,Snort rules , function ,"('Snort rules ', ' function ')",
139,139,139,icmp rules , function ,"('icmp rules ', ' function ')",
140,140,140, ,blank, ,
141,141,141,Snort rules , function ,"('Snort rules ', ' function ')",can_analyze
142,142,142,system variables , data ,"('system variables ', ' data ')",
143,143,143, ,blank, ,
144,144,144,system variables , data ,"('system variables ', ' data ')",
145,145,145,conf file , data ,"('conf file ', ' data ')",
146,146,146, ,blank, ,
147,147,147,system variables , data ,"('system variables ', ' data ')",
148,148,148,home network , system ,"('home network ', ' system ')",
149,149,149, ,blank, ,
150,150,150,system variables , data ,"('system variables ', ' data ')",
151,151,151,external network , system ,"('external network ', ' system ')",
152,152,152, ,blank, ,
153,153,153,Snort rules , function ,"('Snort rules ', ' function ')",has_a
154,154,154,payload options , feature ,"('payload options ', ' feature ')",
155,155,155, ,blank, ,
156,156,156,payload options , feature ,"('payload options ', ' feature ')",can_analyze
157,157,157,data , data,"('data ', ' data')",
158,158,158, ,blank, ,
159,159,159,Snort rules , function ,"('Snort rules ', ' function ')",has_a
160,160,160,non payload options , feature  ,"('non payload options ', ' feature  ')",
161,161,161, ,blank, ,
162,162,162,Network , system,"('Network ', ' system')",
163,163,163,client gateway server , system  ,"('client gateway server ', ' system  ')",
164,164,164, ,blank, ,
165,165,165,Packet forwarding , feature ,"('Packet forwarding ', ' feature ')",can_analyze
166,166,166,Gateway , system,"('Gateway ', ' system')",
167,167,167, ,blank, ,
168,168,168,Firewall , tool,"('Firewall ', ' tool')",uses
169,169,169,sniff , technique,"('sniff ', ' technique')",
170,170,170,server , system,"('server ', ' system')",
171,171,171, ,blank, ,
172,172,172,Firewall , tool,"('Firewall ', ' tool')",has_a
173,173,173,testing , function,"('testing ', ' function')",
174,174,174, ,blank, ,
175,175,175,Blacklist , feature,"('Blacklist ', ' feature')",
176,176,176,testing , function,"('testing ', ' function')",
177,177,177, ,blank, ,
178,178,178,Land Attack , attack ,"('Land Attack ', ' attack ')",
179,179,179,spoofed , vulnerability,"('spoofed ', ' vulnerability')",
180,180,180,TCP SYN Packets , data  ,"('TCP SYN Packets ', ' data  ')",
181,181,181, ,blank, ,
182,182,182,Nmap , tool,"('Nmap ', ' tool')",has_a
183,183,183,open source , feature ,"('open source ', ' feature ')",is_part_of
184,184,184,tool , tool,"('tool ', ' tool')",
185,185,185, ,blank, ,
186,186,186,Nmap , tool,"('Nmap ', ' tool')",uses
187,187,187,network discovery , technique ,"('network discovery ', ' technique ')",
188,188,188, ,blank, ,
189,189,189,Nmap , tool,"('Nmap ', ' tool')",uses
190,190,190,security auditing , technique ,"('security auditing ', ' technique ')",
191,191,191, ,blank, ,
192,192,192,Nmap , tool,"('Nmap ', ' tool')",can_analyze
193,193,193,exposed , vulnerability,"('exposed ', ' vulnerability')",
194,194,194,services , app,"('services ', ' app')",
195,195,195,target machine , system ,"('target machine ', ' system ')",uses
196,196,196,information , data,"('information ', ' data')",
197,197,197,version , technique,"('version ', ' technique')",
198,198,198,OS detection , technique ,"('OS detection ', ' technique ')",
199,199,199, ,blank, ,
200,200,200,nmap , tool,"('nmap ', ' tool')",can_analyze
201,201,201,packets , data,"('packets ', ' data')",
202,202,202,network diagnostic , technique ,"('network diagnostic ', ' technique ')",
203,203,203,testing , function,"('testing ', ' function')",
204,204,204, ,blank, ,
205,205,205,nmap , tool,"('nmap ', ' tool')",can_analyze
206,206,206,packets , data,"('packets ', ' data')",
207,207,207,attacks , attack,"('attacks ', ' attack')",
208,208,208, ,blank, ,
209,209,209,Nmap , tool,"('Nmap ', ' tool')",has_a
210,210,210,network mapper , feature ,"('network mapper ', ' feature ')",
211,211,211,network discovery , technique ,"('network discovery ', ' technique ')",has_a
212,212,212,tools , tool,"('tools ', ' tool')",
213,213,213, ,blank, ,
214,214,214,Nmap , tool,"('Nmap ', ' tool')",is_part_of
215,215,215,tools , tool,"('tools ', ' tool')",
216,216,216,network administrators , securityTeam ,"('network administrators ', ' securityTeam ')",implements
217,217,217,map , function,"('map ', ' function')",can_analyze
218,218,218,networks , system,"('networks ', ' system')",
219,219,219, ,blank, ,
220,220,220,program , function,"('program ', ' function')",can_analyze
221,221,221,live hosts , system ,"('live hosts ', ' system ')",
222,222,222,network , system,"('network ', ' system')",
223,223,223,port scanning , technique ,"('port scanning ', ' technique ')",
224,224,224,ping sweeps , technique ,"('ping sweeps ', ' technique ')",
225,225,225,OS detection , technique ,"('OS detection ', ' technique ')",
226,226,226,version detection , technique ,"('version detection ', ' technique ')",
227,227,227, ,blank, ,
228,228,228,Nmap , tool,"('Nmap ', ' tool')",
229,229,229, ,blank, ,
230,230,230,Nmap , tool,"('Nmap ', ' tool')",uses
231,231,231,network scanning , technique ,"('network scanning ', ' technique ')",has_a
232,232,232,tool , tool,"('tool ', ' tool')",can_analyze
233,233,233,IP packets , data ,"('IP packets ', ' data ')",
234,234,234,devices , system,"('devices ', ' system')",
235,235,235,network , system,"('network ', ' system')",uses
236,236,236,information , data,"('information ', ' data')",
237,237,237,services , app,"('services ', ' app')",
238,238,238,operating systems , system ,"('operating systems ', ' system ')",
239,239,239, ,blank, ,
240,240,240,command-line interface , tool ,"('command-line interface ', ' tool ')",is_part_of
241,241,241,GUI front-ends , tool ,"('GUI front-ends ', ' tool ')",
242,242,242, ,blank, ,
243,243,243,operating systems , system ,"('operating systems ', ' system ')",
244,244,244,Linux , system,"('Linux ', ' system')",
245,245,245,Free BSD , system ,"('Free BSD ', ' system ')",
246,246,246,Gentoo , system,"('Gentoo ', ' system')",
247,247,247, ,blank, ,
248,248,248,Nmap , tool,"('Nmap ', ' tool')",can_analyze
249,249,249,enterprise-scale networks , system ,"('enterprise-scale networks ', ' system ')",
250,250,250,scan , function,"('scan ', ' function')",can_analyze
251,251,251,connected devices , system ,"('connected devices ', ' system ')",
252,252,252, ,blank, ,
253,253,253,Nmap , tool,"('Nmap ', ' tool')",uses
254,254,254,IoT security , technique ,"('IoT security ', ' technique ')",
255,255,255, ,blank, ,
256,256,256,Nmap , tool,"('Nmap ', ' tool')",can_analyze
257,257,257,information , data,"('information ', ' data')",
258,258,258,active , feature,"('active ', ' feature')",
259,259,259,IP , feature,"('IP ', ' feature')",
260,260,260,IP , feature,"('IP ', ' feature')",
261,261,261,legitimate , feature,"('legitimate ', ' feature')",can_analyze
262,262,262,service , app,"('service ', ' app')",
263,263,263,external attacker , attacker er,"('external attacker ', ' attacker er')",
264,264,264, ,blank, ,
265,265,265,network , system,"('network ', ' system')",
266,266,266,live hosts , system ,"('live hosts ', ' system ')",has_a
267,267,267,open ports , feature ,"('open ports ', ' feature ')",can_analyze
268,268,268,OS , system,"('OS ', ' system')",
269,269,269,connected device , system ,"('connected device ', ' system ')",
270,270,270, ,blank, ,
271,271,271,Vulnerabilities , vulnerability,"('Vulnerabilities ', ' vulnerability')",
272,272,272,scan , function,"('scan ', ' function')",can_analyze
273,273,273,server , system,"('server ', ' system')",
274,274,274,process , technique,"('process ', ' technique')",
275,275,275,hacker , attacker,"('hacker ', ' attacker')",implements
276,276,276,attack , attack,"('attack ', ' attack')",can_harm
277,277,277,site , system,"('site ', ' system')",
278,278,278, ,blank, ,
279,279,279,Nmap , tool,"('Nmap ', ' tool')",uses
280,280,280,processes , technique,"('processes ', ' technique')",
281,281,281, ,blank, ,
282,282,282,information , data,"('information ', ' data')",
283,283,283,IP , feature,"('IP ', ' feature')",
284,284,284,active , feature,"('active ', ' feature')",can_analyze
285,285,285,networks , system,"('networks ', ' system')",has_a
286,286,286,IP , feature,"('IP ', ' feature')",
287,287,287,scanned , function,"('scanned ', ' function')",
288,288,288, ,blank, ,
289,289,289,administrators , securityTeam,"('administrators ', ' securityTeam')",can_analyze
290,290,290,IP , feature,"('IP ', ' feature')",
291,291,291,legitimate service , feature ,"('legitimate service ', ' feature ')",
292,292,292,external attacker , attacker er,"('external attacker ', ' attacker er')",
293,293,293, ,blank, ,
294,294,294,Nmap , tool,"('Nmap ', ' tool')",can_analyze
295,295,295,information , data,"('information ', ' data')",
296,296,296,network , system,"('network ', ' system')",
297,297,297, ,blank, ,
298,298,298,live hosts , system ,"('live hosts ', ' system ')",has_a
299,299,299,open ports , feature ,"('open ports ', ' feature ')",can_analyze
300,300,300,OS , system,"('OS ', ' system')",
301,301,301,connected device , system ,"('connected device ', ' system ')",
302,302,302, ,blank, ,
303,303,303,tool , tool,"('tool ', ' tool')",uses
304,304,304,system monitoring , technique ,"('system monitoring ', ' technique ')",
305,305,305,pentesting , technique,"('pentesting ', ' technique')",
306,306,306, ,blank, ,
307,307,307,Nmap , tool,"('Nmap ', ' tool')",is_part_of
308,308,308,Metasploit framework , tool ,"('Metasploit framework ', ' tool ')",uses
309,309,309,probe , technique,"('probe ', ' technique')",can_analyze
310,310,310,network vulnerabilities , vulnerability ,"('network vulnerabilities ', ' vulnerability ')",
311,311,311, ,blank, ,
312,312,312,Nmap , tool,"('Nmap ', ' tool')",is_part_of
313,313,313,tool , tool,"('tool ', ' tool')",
314,314,314,users , user,"('users ', ' user')",uses
315,315,315,personal , system,"('personal ', ' system')",
316,316,316,business websites , system ,"('business websites ', ' system ')",
317,317,317, ,blank, ,
318,318,318,Nmap , tool,"('Nmap ', ' tool')",uses
319,319,319,scan , technique,"('scan ', ' technique')",
320,320,320,web server , system ,"('web server ', ' system ')",has_a
321,321,321,hosting , feature,"('hosting ', ' feature')",can_analyze
322,322,322,website , system,"('website ', ' system')",
323,323,323,home , system,"('home ', ' system')",
324,324,324,hacker , attacker,"('hacker ', ' attacker')",uses
325,325,325,process , technique,"('process ', ' technique')",can_detect
326,326,326,attack , attack,"('attack ', ' attack')",can_harm
327,327,327,site , system,"('site ', ' system')",
328,328,328, ,blank, ,
329,329,329,Attacking , attack,"('Attacking ', ' attack')",can_harm
330,330,330,site , system,"('site ', ' system')",can_expose
331,331,331,security vulnerabilities , vulnerability ,"('security vulnerabilities ', ' vulnerability ')",
332,332,332, ,blank, ,
333,333,333,Nmap , tool,"('Nmap ', ' tool')",is_part_of
334,334,334,tools , tool,"('tools ', ' tool')",
335,335,335,system admins , securityTeam ,"('system admins ', ' securityTeam ')",implements
336,336,336,programs , function,"('programs ', ' function')",
337,337,337, ,blank, ,
338,338,338,Nmap , tool,"('Nmap ', ' tool')",is_part_of
339,339,339,tools , tool,"('tools ', ' tool')",has_a
340,340,340,program , function,"('program ', ' function')",
341,341,341,network monitoring , technique ,"('network monitoring ', ' technique ')",has_a
342,342,342,tools , tool,"('tools ', ' tool')",
343,343,343, ,blank, ,
344,344,344,Nmap , tool,"('Nmap ', ' tool')",is_part_of
345,345,345,command-line interfaces , tool ,"('command-line interfaces ', ' tool ')",
346,346,346, ,blank, ,
347,347,347,users , user,"('users ', ' user')",
348,348,348,scripts , function,"('scripts ', ' function')",has_a
349,349,349,automate , feature,"('automate ', ' feature')",
350,350,350,network monitoring , technique ,"('network monitoring ', ' technique ')",
351,351,351, ,blank, ,
352,352,352,TCP Full Connect Vanilla Scan , technique    ,"('TCP Full Connect Vanilla Scan ', ' technique    ')",
353,353,353, ,blank, ,
354,354,354,scanning , technique,"('scanning ', ' technique')",
355,355,355,target�s , system,"('target�s ', ' system')",has_a
356,356,356,IP address , feature ,"('IP address ', ' feature ')",
357,357,357, ,blank, ,
358,358,358,TCP Connect scan , technique  ,"('TCP Connect scan ', ' technique  ')",
359,359,359,3-way handshake , technique ,"('3-way handshake ', ' technique ')",
360,360,360, ,blank, ,
361,361,361,port , feature,"('port ', ' feature')",
362,362,362,open , feature,"('open ', ' feature')",can_analyze
363,363,363,operating system , system ,"('operating system ', ' system ')",has_a
364,364,364,TCP , feature,"('TCP ', ' feature')",
365,365,365,three-way handshake , technique ,"('three-way handshake ', ' technique ')",has_a
366,366,366,port scanner , tool ,"('port scanner ', ' tool ')",has_a
367,367,367,connection , feature,"('connection ', ' feature')",can_detect
368,368,368,DOS , attack,"('DOS ', ' attack')",
369,369,369, ,blank, ,
370,370,370,noisy , feature,"('noisy ', ' feature')",
371,371,371,services , feature,"('services ', ' feature')",
372,372,372,log , function,"('log ', ' function')",can_analyze
373,373,373,sender , system,"('sender ', ' system')",has_a
374,374,374,IP address , feature ,"('IP address ', ' feature ')",is_part_of
375,375,375,Intrusion Detection Systems , tool  ,"('Intrusion Detection Systems ', ' tool  ')",
376,376,376, ,blank, ,
377,377,377,Full scan , technique ,"('Full scan ', ' technique ')",
378,378,378, ,blank, ,
379,379,379,3-way handshake , technique ,"('3-way handshake ', ' technique ')",can_analyze
380,380,380,scanned , vulnerability,"('scanned ', ' vulnerability')",
381,381,381,port , feature,"('port ', ' feature')",
382,382,382, ,blank, ,
383,383,383,Sends , function,"('Sends ', ' function')",has_a
384,384,384,SYN , feature,"('SYN ', ' feature')",
385,385,385,ACK , feature,"('ACK ', ' feature')",
386,386,386,sending , function,"('sending ', ' function')",has_a
387,387,387,ACK , feature,"('ACK ', ' feature')",
388,388,388, ,blank, ,
389,389,389,Tears down , feature ,"('Tears down ', ' feature ')",
390,390,390,connection , feature,"('connection ', ' feature')",can_analyze
391,391,391,FIN packets , data ,"('FIN packets ', ' data ')",
392,392,392, ,blank, ,
393,393,393,target port , feature ,"('target port ', ' feature ')",
394,394,394,closed , feature,"('closed ', ' feature')",can_analyze
395,395,395,sender , system,"('sender ', ' system')",
396,396,396,received , function,"('received ', ' function')",has_a
397,397,397,response , feature,"('response ', ' feature')",can_analyze
398,398,398,RESET packet , data ,"('RESET packet ', ' data ')",
399,399,399,ICMP Port Unreachable packet , data   ,"('ICMP Port Unreachable packet ', ' data   ')",
400,400,400, ,blank, ,
401,401,401,stealthy , vulnerability,"('stealthy ', ' vulnerability')",
402,402,402,connection request , feature ,"('connection request ', ' feature ')",
403,403,403,logged , function,"('logged ', ' function')",
404,404,404, ,blank, ,
405,405,405,UDP scan , technique ,"('UDP scan ', ' technique ')",
406,406,406,UDP ports , feature ,"('UDP ports ', ' feature ')",
407,407,407,listening , feature,"('listening ', ' feature')",
408,408,408, ,blank, ,
409,409,409,UDP , feature,"('UDP ', ' feature')",
410,410,410,respond , feature,"('respond ', ' feature')",
411,411,411,positive acknowledgment , feature ,"('positive acknowledgment ', ' feature ')",
412,412,412,TCP , feature,"('TCP ', ' feature')",
413,413,413,responds , feature,"('responds ', ' feature')",
414,414,414,incoming , feature,"('incoming ', ' feature')",can_analyze
415,415,415,UDP packet , data ,"('UDP packet ', ' data ')",
416,416,416,port , feature,"('port ', ' feature')",
417,417,417,closed , feature,"('closed ', ' feature')",
418,418,418,scan , technique,"('scan ', ' technique')",
419,419,419,FALSE positives , feature ,"('FALSE positives ', ' feature ')",
420,420,420, ,blank, ,
421,421,421,reveal , feature,"('reveal ', ' feature')",can_detect
422,422,422,Trojan horses , attack ,"('Trojan horses ', ' attack ')",
423,423,423,high UDP ports , feature  ,"('high UDP ports ', ' feature  ')",can_analyze
424,424,424,hidden RPC services , vulnerability  ,"('hidden RPC services ', ' vulnerability  ')",
425,425,425, ,blank, ,
426,426,426,machines , system,"('machines ', ' system')",has_a
427,427,427,slow down responses , feature  ,"('slow down responses ', ' feature  ')",can_analyze
428,428,428,traffic , data,"('traffic ', ' data')",
429,429,429, ,blank, ,
430,430,430,Machines , system,"('Machines ', ' system')",
431,431,431,Windows OS , system ,"('Windows OS ', ' system ')",has_a
432,432,432,slowdown feature , feature ,"('slowdown feature ', ' feature ')",
433,433,433,UDP , feature,"('UDP ', ' feature')",
434,434,434,scan , technique,"('scan ', ' technique')",
435,435,435,Windows , system,"('Windows ', ' system')",
436,436,436,hosts , system,"('hosts ', ' system')",
437,437,437, ,blank, ,
438,438,438,UDP Scan , technique ,"('UDP Scan ', ' technique ')",
439,439,439,UDP packet , data ,"('UDP packet ', ' data ')",
440,440,440,target ports , feature ,"('target ports ', ' feature ')",
441,441,441,UDP service , feature ,"('UDP service ', ' feature ')",
442,442,442,listening , feature,"('listening ', ' feature')",
443,443,443, ,blank, ,
444,444,444,target system , system ,"('target system ', ' system ')",uses
445,445,445,ICMP Port Unreachable message , data   ,"('ICMP Port Unreachable message ', ' data   ')",
446,446,446,target port , feature ,"('target port ', ' feature ')",
447,447,447,closed , feature,"('closed ', ' feature')",
448,448,448,target port , feature ,"('target port ', ' feature ')",
449,449,449,open , feature,"('open ', ' feature')",
450,450,450, ,blank, ,
451,451,451,UDP scan , technique ,"('UDP scan ', ' technique ')",
452,452,452,FALSE positives , feature ,"('FALSE positives ', ' feature ')",
453,453,453, ,blank, ,
454,454,454,UDP scan , technique ,"('UDP scan ', ' technique ')",
455,455,455,slow , feature,"('slow ', ' feature')",
456,456,456, ,blank, ,
457,457,457,Open , feature,"('Open ', ' feature')",
458,458,458,filtered ports , feature ,"('filtered ports ', ' feature ')",
459,459,459,send , function,"('send ', ' function')",has_a
460,460,460,response , feature,"('response ', ' feature')",is_part_of
461,461,461,Nmap , tool,"('Nmap ', ' tool')",has_a
462,462,462,time out , feature ,"('time out ', ' feature ')",
463,463,463, ,blank, ,
464,464,464,Closed ports , feature ,"('Closed ports ', ' feature ')",can_analyze
465,465,465,ICMP port unreachable error , data   ,"('ICMP port unreachable error ', ' data   ')",
466,466,466,hosts , system,"('hosts ', ' system')",
467,467,467,rate limit , technique ,"('rate limit ', ' technique ')",
468,468,468,ICMP port unreachable messages , data   ,"('ICMP port unreachable messages ', ' data   ')",
469,469,469,default , feature,"('default ', ' feature')",
470,470,470, ,blank, ,
471,471,471,UDP scan , technique ,"('UDP scan ', ' technique ')",
472,472,472,host , feature,"('host ', ' feature')",
473,473,473,use min-hostgroup , feature ,"('use min-hostgroup ', ' feature ')",
474,474,474,scan , technique,"('scan ', ' technique')",
475,475,475,hosts , system,"('hosts ', ' system')",
476,476,476, ,blank, ,
477,477,477,Scan , technique,"('Scan ', ' technique')",
478,478,478,ports , feature,"('ports ', ' feature')",
479,479,479,scan , technique,"('scan ', ' technique')",
480,480,480,UDP ports , feature ,"('UDP ports ', ' feature ')",
481,481,481, ,blank, ,
482,482,482,version-intensity , feature,"('version-intensity ', ' feature')",
483,483,483,version detection , technique ,"('version detection ', ' technique ')",
484,484,484,scans , technique,"('scans ', ' technique')",
485,485,485, ,blank, ,
486,486,486,Scan , technique,"('Scan ', ' technique')",
487,487,487,behind the firewall , feature  ,"('behind the firewall ', ' feature  ')",
488,488,488, ,blank, ,
489,489,489,host-timeout , feature,"('host-timeout ', ' feature')",can_analyze
490,490,490,slow hosts , system ,"('slow hosts ', ' system ')",
491,491,491, ,blank, ,
492,492,492,verbosity , feature,"('verbosity ', ' feature')",
493,493,493,chill out , feature ,"('chill out ', ' feature ')",is_part_of
494,494,494,Nmap , tool,"('Nmap ', ' tool')",uses
495,495,495,scan , technique,"('scan ', ' technique')",
496,496,496,host , system,"('host ', ' system')",
497,497,497, ,blank, ,
498,498,498,SYN scan , technique ,"('SYN scan ', ' technique ')",
499,499,499,TCP scanning , technique ,"('TCP scanning ', ' technique ')",
500,500,500, ,blank, ,
501,501,501,operating system�s , system ,"('operating system�s ', ' system ')",
502,502,502,network functions , function ,"('network functions ', ' function ')",
503,503,503,port scanner , tool ,"('port scanner ', ' tool ')",can_analyze
504,504,504,raw IP packets , data  ,"('raw IP packets ', ' data  ')",
505,505,505,monitors , technique,"('monitors ', ' technique')",
506,506,506,responses , feature,"('responses ', ' feature')",
507,507,507, ,blank, ,
508,508,508,scan , technique,"('scan ', ' technique')",
509,509,509,half-open scanning , technique ,"('half-open scanning ', ' technique ')",
510,510,510,opens , feature,"('opens ', ' feature')",
511,511,511,full TCP connection , feature  ,"('full TCP connection ', ' feature  ')",
512,512,512, ,blank, ,
513,513,513,port scanner , tool ,"('port scanner ', ' tool ')",can_analyze
514,514,514,SYN packet , data ,"('SYN packet ', ' data ')",
515,515,515, ,blank, ,
516,516,516,target port , feature ,"('target port ', ' feature ')",
517,517,517,open , feature,"('open ', ' feature')",
518,518,518,respond , feature,"('respond ', ' feature')",can_analyze
519,519,519,SYN-ACK packet , data ,"('SYN-ACK packet ', ' data ')",
520,520,520, ,blank, ,
521,521,521,scanner , tool,"('scanner ', ' tool')",can_analyze
522,522,522,host , system,"('host ', ' system')",has_a
523,523,523,responds , feature,"('responds ', ' feature')",can_analyze
524,524,524,RST packet , data ,"('RST packet ', ' data ')",
525,525,525,closing , feature,"('closing ', ' feature')",
526,526,526,connection , feature,"('connection ', ' feature')",
527,527,527,handshake , technique,"('handshake ', ' technique')",
528,528,528, ,blank, ,
529,529,529,port , feature,"('port ', ' feature')",
