entityID,entityName,entityType,entityCategory,entityDescription
507,deploy,function,concept,
508,client network,system,application,
509,template,feature,concept,
510,system security,technique,concept,
511,inspect,technique,concept,
512,resolve,technique,concept,
513,concept,vulnerability,concept,
514,client VM,system,application,
515,MSF (Metasploit framework),tool,application,
516,MSF ,tool,application,
517,security testing,technique,concept,
518,ping,function,concept,
519,traceroute,tool,application,
520,msfconsole,tool,application,
521,client node,system,application,
522,client machine,system,application,
523,Gateway Node,system,application,
524,Ubuntu 18.04,system,application,
525,Ubuntu ,system,application,
526,protect,feature,concept,
527,server node,system,application,
528,configuration files,data,concept,
529,shell scripts,function,concept,
530,/etc/rsyslog.d/,feature,concept,
531,permission,feature,concept,
532,parameter setup,feature,concept,
533,interface,app,application,
534,GW,system,application,
535,Intrusion Detection,technique,concept,
536,vulnerable ,vulnerability,concept,
537,security services,app,application,
538,Snort IDS,tool,application,
539,target service,app,application,
540,application,app,application,
541,access,feature,concept,
542,command shell,tool,application,
543,parameters,feature,concept,
544,critical,feature,concept,
545,identify,technique,concept,
546,mitigation,technique,concept,
547,countermeasure,technique,concept,
548,mitigation solutions,technique,concept,
549,Detecting,technique,concept,
550,Subverting,technique,concept,
551,Gateway VM,system,concept,
552,defend,technique,concept,
553,cyberdefense,technique,concept,
554,TCP protocol,feature,concept,
555,TCP,feature,concept,
556,RFC 793,feature,concept,
557,RST (reset),feature,concept,
558,TCP RST (reset) packet,data,concept,
559,negative response,feature,concept,
560,RST packet,data,concept,
561,ICMP error messages,data,concept,
562,port unreachable,feature,concept,
563,dropped packets,data,concept,
564,packet loss,feature,concept,
565,ICMP errors,data,concept,
566,reliable,feature,concept,
567,TCP ports,feature,concept,
568,TCP packets,data,concept,
569,ICMP destination unreachable error,data,concept,
570,Stateless,feature,concept,
571,secure,feature,concept,
572,reboot,function,concept,
573,state,feature,concept,
574,deny-by-default,feature,concept,
575,policy,feature,concept,
576,network traffic,data,concept,
577,Linux system,system,application,
578,Windows XP,system,application,
579,Nping,tool,application,
580,port 80,feature,concept,
581,flooding,attack,concept,
582,forged packets,attack,concept,
583,Packet injection,attack,concept,
584,source,system,application,
585,netblocks,technique,concept,
586,UDP,feature,concept,
587,UDP Scan,technique,concept,
588,FTP Bounce scan,technique,concept,
589,transmit,feature,concept,
590,transmitted packets,data,concept,
591,triggered packet responses,feature,concept,
592,trigger,feature,concept,
593,IPS systems,tool,application,
594,packet flow,feature,concept,
595,suspicious activity,vulnerability,concept,
596,buffer overflow exploit,attack,concept,
597,Suspicious,vulnerability,concept,
598,response packets,data,concept,
599,flagged ,feature,concept,
600,Packet Forgery,attack,concept,
601,monitoring,technique,concept,
602,icmp-net-unreachable,feature,concept,
603,icmp-host-unreachable,feature,concept,
604,icmp-port-unreachable,feature,concept,
605,icmp-proto-unreachable,feature,concept,
606,icmp-net-prohibited,feature,concept,
607,icmp-host-prohibited,feature,concept,
608,port-unreachable,feature,concept,
609,tcp-reset,feature,concept,
610,TCP RST packet ,data,concept,
611,ident,feature,concept,
612,ident protocol,feature,concept,
613,Identification Protocol,feature,concept,
614,IDENT(port 113),feature,concept,
615,ident (113/tcp),feature,concept,
616,mail hosts,system,application,
617,broken,feature,concept,
618,Forging,attack,concept,
619,port 113,feature,concept,
620,timeout,feature,concept,
621,Forgery,attack,concept,
622,Analysis,technique,concept,
623,rules,function,concept,
624,inline mode,feature,concept,
625,passive mode,feature,concept,
626,inline,feature,concept,
627,passive,feature,concept,
628,route command,function,concept,
629,routing,technique,concept,
630,route,function,concept,
631,slow down,feature,concept,
632,DNS proxy,system,application,
633,testing environment,system,application,
634,timing modes,feature,concept,
635,paranoid option,feature,concept,
636,sneaky option,feature,concept,
637,IP fragments,feature,concept,
638,Fragment Overlap Attack,attack,concept,
639,IP fragmentation,technique,concept,
640,fragmented IP packets,data,concept,
641,tiny fragment attack,attack,concept,
642,IP fragmentation attack,attack,concept,
643,overlapping fragments,feature,concept,
644,centralized server,system,application,
645,fragmentation assembly timeouts,feature,concept,
646,remote system,system,application,
647,tiny IP fragments,feature,concept,
648,tiny fragments,feature,concept,
649,bytes,data,concept,
650,fragment,feature,concept,
651,data size,feature,concept,
652,UDP and ICMP fragmentation attacks,attack,concept,
653,TCP fragmentation attacks,attack,concept,
654,Teardrop attacks,attack,concept,
655,Fragmentation,technique,concept,
656,raw packet,data,concept,
657,connect scan,technique,concept,
658,communication protocol,feature,concept,
659,Decoys,technique,concept,
660,source host,system,application,
661,alarms,function,concept,
662,accuracy,feature,concept,
663,spoofing,vulnerability,concept,
664,TCP port scan,technique,concept,
665,IP identification field,feature,concept,
666,IP identifier (IP-ID),feature,concept,
667,IP header,feature,concept,
668,offset,feature,concept,
669,Linux systems,system,application,
670,idle scan attacks,attack,concept,
671,reverse-DNS,function,concept,
672,reverse-DNS resolution,function,concept,
673,unintrusive,feature,concept,
674,list scan,technique,concept,
675,DNS lookup,function,concept,
676,DNS probe,tool,application,
677,DNS server,system,application,
678,risk,feature,concept,
679,reverse DNS resolution,function,concept,
680,name servers,system,application,
681,DNS queries,function,concept,
682,proxy,system,application,
683,Metasploit Framework (msf),tool,application,
684,command-line (CLI),tool,application,
685,Metasploit,tool,application,
686,discover,technique,concept,
687,vulnerability discovery,technique,concept,
688,Metasploitable2,system,application,
689,network operators,securityTeam,role,
690,remote target machine,system,application,
691,computer security,technique,concept,
692,IDS signature development.,technique,concept,
693,anti-forensic,technique,concept,
694,evasion,technique,concept,
695,Kali,system,application,
696,Kali Linux ,system,application,
697,Kali Linux operating system,system,application,
698,command-line,tool,application,
699,Ubuntu Linux,system,application,
700,module,function,concept,
701,Ruby ,tool,application,
702,class,function,concept,
703,plugin,tool,application,
704,user interface,app,application,
705,auxiliary modules,tool,application,
706,service identification,technique,concept,
707,password sniffing,technique,concept,
708,password sniffer,tool,application,
709,Windows patch enumeration,technique,concept,
710,Patch enumeration,technique,concept,
711,advanced users,user,role,
712,Rapid7,app,application,
713,interface,app,application,
714,external command,function,concept,
715,ping command,function,concept,
716,tab auto-completion,function,concept,
717,graphical user interface,app,application,
718,Armitage,app,application,
719,rolling edition,feature,concept,
720,syslog.conf,data,concept,
721,dock,app,application,
722,PostgreSQL service,app,application,
723,Metasploit service,app,application,
724,install,function,concept,
725,installation,function,concept,
726,pre-installed,function,concept,
727,exploit code,function,concept,
728,use command,function,concept,
729,command line,tool,application,
730,realvnc_client,vulnerability,concept,
731,exploit parameters,feature,concept,
732,back command,function,concept,
733,exit command,function,concept,
734,Linux terminal,system,application,
735,help command,function,concept,
736,exploit command,function,concept,
737,platform,app,application,
738,author,user,role,
739,info command,function,concept,
740,ie_execcommand_ua,vulnerability,concept,
741,search command,function,concept,
742,search function,function,concept,
743,search ,function,concept,
744,Flash player,tool,application,
745,description,feature,concept,
746,Flash player software,app,application,
747,CVE-2015-5122 Adobe Flash opaqueBackground Use After Free zero-day,vulnerability,concept,
748,CVE-2015-5122,vulnerability,concept,
749,Adobe Flash ActionScript 3 opaqueBackground use-after-free ,vulnerability,concept,
750,Hacking Team,attacker,role,
751,data breach,attack,concept,
752,OSVDB,vulnerability,concept,
753,Open Sourced Vulnerability Database,data,concept,
754,OSVDB ID,feature,concept,
755,set command,function,concept,
756,Flash exploit,vulnerability,concept,
757,show options command ,function,concept,
758,SRVHOST,feature,concept,
759,SRVPORT,feature,concept,
760,Boolean,function,concept,
761,show payloads command,function,concept,
762,flash player exploit,vulnerability,concept,
763,show targets command,function,concept,
764,adobe_flash_shader_drawing_fill exploit,vulnerability,concept,
765,command set,function,concept,
766,target ID,feature,concept,
767,show advanced command,feature,concept,
768,advanced options,feature,concept,
769,advanced,feature,concept,
770,show nops command,function,concept,
771,NOP generators,function,concept,
772,No Operation (NOP),function,concept,
773,No-op instructions ,function,concept,
774,NOP,function,concept,
775,No Operation ,function,concept,
776,signature,feature,concept,
777,NOP sleds,function,concept,
778,CPU architecture,system,concept,
779,CPU,system,concept,
780,show evasion command,function,concept,
781,evasion techniques,technique,concept,
782,settings,feature,concept,
783,encoding,function,concept,
784,encode,function,concept,
785,Metasploitable 2,system,application,
786,Linux machine,system,application,
787,hypervisor,system,application,
788,KVM,system,application,
789,VMware Player,system,application,
790,Virtual box,system,application,
791,fingerprinting process,technique,concept,
792,TPC port,feature,concept,
793,TPC,feature,concept,
794,username/password,feature,concept,
795,username,feature,concept,
796,ifconfig command,function,concept,
797,msfadmin/msfadmin,feature,concept,
798,netdiscover,tool,application,
799,Kali Linux machine,system,application,
800,Linux 2.6.9 - 2.6.33,system,application,
801,SSH service,app,application,
802,OpenSSH,tool,application,
803,telnet service,app,application,
804,Apache 2.2.8 webserver,app,application,
805,SQL servers,system,application,
806, backdoor,attack,concept,
807,user enumeration,vulnerability,concept,
808,penetrations tester,securityTeam,role,
809,brute force techniques,technique,concept,
810,brute force,technique,concept,
811,enumerate,function,concept,
812,user accounts,feature,concept,
813,Rpcclient,tool,application,
814, client-side,system,application,
815,MS-RPC functions,function,concept,
816,server-side,system,application,
817,samba,system,application,
818,SMB server,system,application,
819,null session,feature,concept,
820,legacy systems,system,application,
821,Windows XP SP2,system,application,
822,Windows Server 2003,system,application,
823,port 445,feature,concept,
824,samba server,system,application,
825,Enum4linux,tool,application,
826,Perl,tool,application,
827,wrapper,function,application,
828,smbclient,system,application,
829,nmblookup,tool,application,
830,console,tool,application,
831,SYN Stealth Scan,technique,concept,
832,DNS resolution,function,concept,
833,ARP Ping Scan,technique,concept,
834,Nmap Scripting Engine (NSE),tool,application,
835,post scan scripts,function,concept,
836,FTP service,app,application,
837,Very Secure FTP Daemon,system,application,
838,VSFTPD,system,application,
839,Very Secure File Transport Protocol Daemon,system,application,
840,vsFTPD server,system,application,
841,ls,function,concept,
842,Linux box,system,application,
843,System Log,data,concept,
844,downtime,feature,concept,
845,troubleshoot,technique,concept,
846,incident management,technique,concept,
847,issues,vulnerability,concept,
848,auto resolution,technique,concept,
849,incidents,attack,concept,
850,architecture,system,application,
851,severity,feature,concept,
852,error,data,concept,
853,info,data,concept,
854,warning,data,concept,
855,Severity Levels,feature,concept,
856,syslogd,data,concept,
857,system messages,data,concept,
858,logging system,tool,application,
859,rsyslog,tool,application,
860,Ubuntu Linux distribution,system,application,
861,selector,feature,concept,
862,selector field,feature,concept,
863,action field,feature,concept,
864,fields,feature,concept,
865,facility,system,application,
866,priority,feature,concept,
867,auth,feature,concept,
868,authpriv,feature,concept,
869,cron,feature,concept,
870,daemon,tool,application,
871,kern,app,application,
872,lpr,system,application,
873,mail,app,application,
874,mark,feature,concept,
875,news,feature,concept,
876,uucp,feature,concept,
877,local0,feature,concept,
878,local7,feature,concept,
879,logging,function,concept,
880,subsystem,system,application,
881,message,data,concept,
882,mail programs,app,application,
883,LOG MAIL,app,application,
884,debug,technique,concept,
885,notice,data,concept,
886,print,function,concept,
887,warn ,feature,concept,
888,err,feature,concept,
889,crit,feature,concept,
890,emerg,feature,concept,
891,panic,feature,concept,
892,log file,data,concept,
893,critical.log,data,concept,
894,kernel,app,application,
895,/var/log,feature,concept,
896,terminal,system,application,
897,network support,technique,concept,
898,disk file,data,concept,
899,Unix/Linux,system,application,
900,standard C library,app,application,
901,error message,data,concept,
902,/var/log/messages ,feature,concept,
903,Restart,function,concept,
904,log-level switch,function,concept,
905,ssh,function,concept,
906,domain socket,feature,concept,
907,log message,data,concept,
908,log data,data,concept,
909,ubuntu distribution,system,application,
910,rsyslogd,data,concept,
911,Local,feature,concept,
912,Ubuntu system,system,application,
913,/etc/rsyslog.d/,feature,concept,
914,setup configurations,feature,concept,
915,50-default.conf,data,concept,
916,/var/log/,feature,concept,
917,filesystem,system,application,
918,location,system,application,
919,vendors,user,role,
920,log server,system,application,
921,auth.log,data,concept,
922,kern.log,data,concept,
923,dpkg.log,data,concept,
924,client-server,system,application,
925,file system,system,application,
926,instances,system,application,
927,centralized logging architecture,system,application,
928,forward,feature,concept,
929,remote rsyslog server,system,application,
930,central server,system,application,
931,Transport Layer Security (TLS),technique,concept,
932,TLS,technique,concept,
933,reliability,technique,concept,
934,memory caching,technique,concept,
935,down,feature,concept,
936,network down,feature,concept,
937,data transmission,feature,concept,
938,access privilege,feature,concept,
939,log monitoring,technique,concept,
940,infrastructure,system,application,
941,network management,technique,concept,
942,centralized logging server,system,application,
943,syslog server,system,application,
944,remote server,system,application,
945,centralized system,system,application,
946,single-point failure,feature,concept,
947,disk space,system,application,
948,rsyslog server,system,application,
949,port 514,feature,concept,
950,log transmission,feature,concept,
951,transmission,feature,concept,
952,network reliability,technique,concept,
953,directory,data,concept,
954,rsyslog rules,function,concept,
955,50-default.conf file,data,concept,
956,file path,feature,concept,
957,path,feature,concept,
958,hostname,feature,concept,
959,computer name,feature,concept,
960, client side,system,application,
961,server side,system,application,
962,logging service,app,application,
963,log-level,feature,concept,
