,e1,r,e2
243,Nmap,uses,RPC scanning
244,firewalls,can_analyze,devices
245,evading,has_a,IDS
246,IDS,uses,Product evaluation
247,attackers,uses,Nmap
248,Nmap,has_a,flag
249,flag,can_analyze,system
250,system,has_a,protection
251,Pentesting tools,is_part_of,Nmap
252,Nmap,is_part_of,Metasploit
253,Metasploit,uses,evading
254,sneaking past,has_a,IDSs
255,attackers,can_exploit,security holes
256,firewall rule,can_analyze,setup
257,setup,has_a,IDS system
258,system admin,can_analyze,iptables
259,snort rules,can_analyze,setup
260,iptables,is_part_of,snort
261,snort,can_analyze,system
262,system,can_expose,weakness
263,pen tester,can_analyze,iptables
264,iptables,has_a,snort
265,snort,has_a,configurations
266,configurations,can_analyze,networking system setup
267,pen tester,uses,monitor
268,iptables,is_part_of,snort
269,pen tester,uses,explore
270,explore,can_analyze,vulnerabilities
271,System configurations,is_part_of,firewall
272,firewall,can_analyze,setup
273,setup,has_a,open
274,ports,can_analyze,services
275,nodes,has_a,firewall
276,firewall,uses,performance measurements
277,IDS,can_analyze,setup
278,setup,has_a,detection threshold setup
279,detection threshold setup,can_detect,attack scenarios
280,pen tester,uses,assess
281,security performance,has_a,firewall
282,firewall,is_part_of,IDS
283,IDS,uses,detect
284,deployed,can_detect,attacks
285,pen tester,can_detect,configuration vulnerabilities
286,pen tester,uses,pentest
287,template,is_part_of,firewall
288,firewall,is_part_of,IDS
289,IDS,has_a,rules
290,assessing,has_a,firewall
291,firewall,is_part_of,IDS
292,security,has_a,firewall
293,resolve,can_analyze,vulnerable issues
294,pen tester,can_analyze,client VM
295,client VM,has_a,Nmap
296,Nmap,is_part_of,hping3
297,hping3,is_part_of,MSF Metasploit framework
298,MSF Metasploit framework,is_part_of,tcpdump
299,tools,has_a,testing
300,tools,is_part_of,ping
301,ping,is_part_of,traceroute
302,traceroute,is_part_of,nmap
303,nmap,is_part_of,hpings
304,hpings,is_part_of,msfconsole
305,msfconsole,can_analyze,client node
306,run,can_analyze,iptables
307,iptables,has_a,firewall
308,firewall,is_part_of,snort
309,snort,has_a,protect
310,protect,can_analyze,server node
311,iptables,has_a,snort
312,snort,can_analyze,configuration files
313,iptables,uses,configuration files
314,snort rule,can_analyze,files
315,reset,can_analyze,interfaces
316,interfaces,has_a,IP addresses
317,default,can_analyze,VM
318,Metasploitable 2,can_expose,vulnerable
319,iptables,is_part_of,snort
320,snort,is_part_of,Nmap
321,Nmap,is_part_of,Metasploit
322,Metasploit,can_analyze,security services
323,security services,has_a,tools
324,Iptables,is_part_of,firewall
325,firewall,is_part_of,Snort IDS
326,deploy,can_detect,attacks
327,exploit,can_analyze,vulnerabilities
328,service,has_a,access
329,access,is_part_of,command shell
330,command shell,can_analyze,data
331,service,has_a,parameters
332,critical,can_analyze,data
333,system configuration,can_analyze,setup
334,identify,can_analyze,vulnerability
335,Metasploit,uses,explore
336,explore,can_analyze,vulnerability
337,Subverting,has_a,Firewalls
338,Firewalls,is_part_of,Intrusion Detection Systems
339,firewall,can_analyze,setup
340,scans,has_a,firewall
341,firewall,has_a,reset
342,firewall rules,has_a,blacklist
343,Nmap,is_part_of,Metasploit Framework
344,Metasploit Framework,can_analyze,Client
345,Gateway,has_a,firewall
346,firewall,uses,defend
347,scan,can_detect,attack
348,tcpdump,uses,monitor
349,ports,can_analyze,gateway
350,TCP protocol,can_analyze,systems
351,systems,has_a,RFC 793
352,connection requests,can_analyze,TCP RST reset packet
353,ports,is_part_of,Nmap
354,Filtering,can_analyze,devices
355,devices,has_a,firewalls
356,firewalls,can_analyze,packets
357,Nmap,has_a,reliably
358,closed,can_analyze,target
359,target,has_a,RFC 793
360,respond,can_analyze,RST packet
361,Firewalls,has_a,block
362,firewall,has_a,response
363,response,can_analyze,ICMP destination unreachable error
364,Nmap,can_analyze,ACK packets
365,filtered ports,is_part_of,Nmap
366,Nmap,uses,ACK scan
367,Stateless,is_part_of,firewall
368,firewall,has_a,block
369,incoming,can_analyze,SYN packets
370,Blocking,can_analyze,ACK packets
371,block,can_detect,unsolicited
372,unsolicited,can_harm,ACK packets
373,firewalls,has_a,statefully
374,iptables,is_part_of,firewall
375,firewall,has_a,rules
376,rules,has_a,stateful
377,stateful,is_part_of,firewall
378,stateful,is_part_of,firewalls
379,firewalls,has_a,secure
380,stateful,is_part_of,firewall
381,firewall,has_a,reboot
382,reboot,can_analyze,device
383,device,has_a,state
384,Nmap,uses,scans
385,scanning,has_a,Nmap
386,Nmap,has_a,outputs
387,firewall,can_analyze,setup
388,Systems,has_a,TCP protocol
389,connection requests,can_analyze,TCP RST reset packet
390,deny-by-default,is_part_of,firewall
391,firewall,has_a,policy
392,responses,is_part_of,firewall
393,ACK scan,can_analyze,TCP packets
394,closed,can_analyze,target
395,target,has_a,RFC 793
396,RFC 793,can_analyze,RST packet
397,stateless,is_part_of,firewall
398,firewall,has_a,policies
399,policies,can_analyze,setup
400,responses,is_part_of,firewall
401,port,can_analyze,machine
402,machine,uses,network traffic
403,machine,has_a,IP ID
404,Windows XP,has_a,Nping
405,Nping,can_analyze,SYN packets
406,flooding,can_harm,host
407,address,is_part_of,nping
408,nping,can_analyze,node
409,addresses,is_part_of,firewall
410,source,has_a,address
411,netblocks,has_a,firewall
412,firewall,has_a,blocked
413,UDP,can_analyze,applications
414,applications,uses,packets
415,scanner,has_a,port
416,Nmap,uses,port scanning
417,Nmap,can_analyze,source
418,source,has_a,port
419,port,can_analyze,source
420,source,has_a,ports
421,ports,can_analyze,transmitted packets
422,intrusion detection systems,is_part_of,intrusion prevention systems
423,network,has_a,IDS
424,IDS,has_a,triggered packet responses
425,IPS systems,can_analyze,network
426,network,has_a,packet flow
427,packet flow,can_analyze,suspicious activity
428,IPS,has_a,block
429,block,can_analyze,traffic
430,port scanned,can_detect,buffer overflow exploit
431,Attackers,uses,port scan
432,system,has_a,open ports
433,Attackers,uses,blocked
434,IDS,has_a,flagged
435,IDSs,can_analyze,network
436,network,can_expose,forge
437,packets,can_expose,forged
438,scanning,can_detect,Packet Forgery
439,Firewall,is_part_of,Intrusion Detection Systems
440,system,uses,packets
441,icmp-host-prohibited,can_analyze,ICMP error message
442,rules,has_a,TCP protocol
443,broken,can_analyze,mail hosts
444,Forging,can_harm,RST packets
445,firewalls,is_part_of,IDS
446,IDS,is_part_of,IPS
447,IPS,has_a,port 113
448,network operators,uses,scanners
449,scanners,has_a,port
450,timeout,can_analyze,dropped packets
451,firewall,can_analyze,setup
452,detect,has_a,IDSs
453,IDSs,can_analyze,suspicious
454,machines,has_a,traceroutes
455,operating systems,has_a,traceroute
456,traceroute,has_a,command
457,Nmap,is_part_of,traceroute
458,inline,is_part_of,IDSs
459,IDSs,has_a,passively
460,Nmap,has_a,ping
461,commands,can_analyze,information
462,detected,has_a,IDS
463,IDS,is_part_of,snort
464,snort,uses,detect
465,slow down,can_analyze,DNS proxying
466,deploy,can_analyze,testing environment
467,snort,has_a,rules
468,Nmap,uses,scanning
469,scanning,has_a,Nmap
470,Nmap,uses,scanning
471,Nmap,has_a,timing modes
472,paranoid option,is_part_of,Nmap
473,Nmap,uses,probe
474,IP fragments,is_part_of,intrusion detection systems
475,fragmentation assembly timeouts,can_analyze,platforms
476,IDS,can_analyze,remote system
477,remote system,uses,packet
478,Nmap,uses,scan
479,Nmap,can_analyze,bytes
480,fragment,can_analyze,byte
481,Fragmentation,has_a,Nmap�s
482,Nmap,can_analyze,raw packet
483,version detection,has_a,Nmap Scripting Engine
484,Nmap Scripting Engine,uses,fragmentation
485,host,has_a,TCP stack
486,TCP stack,can_analyze,target services
487,source,has_a,IP
488,IP,is_part_of,Nmap
489,Nmap,uses,port scan
490,Nmap,can_analyze,target
491,target,can_expose,spoofed
492,IP,is_part_of,Nmap
493,Nmap,has_a,responses
494,IDS,has_a,alarms
495,alarms,can_analyze,target
496,target,can_expose,spoofed
497,administrators,uses,IDS
498,IDS,has_a,accuracy
499,idle scan,can_analyze,spoofing
500,source,has_a,IP address
501,IP identification field,can_analyze,systems
502,Nmap,has_a,reverse-DNS resolution
503,reverse-DNS resolution,has_a,responsive
504,responsive,can_analyze,host
505,configured,can_analyze,machine
506,machine,has_a,Nmap
507,dns servers,has_a,Nmap
508,Nmap,has_a,DNS queries
509,DNS queries,can_analyze,proxied
510,scanning,can_analyze,vulnerabilities
511,Metasploit Framework msf,has_a,deploy
512,deploy,can_detect,attacks
513,service,has_a,access
514,access,is_part_of,command shell
515,command shell,can_analyze,data
516,service,has_a,parameters
517,critical,can_analyze,data
518,system configuration,can_analyze,setup
519,Metasploit Framework MSF,is_part_of,command-line CLI
520,command-line CLI,uses,penetration testing
521,Metasploit,uses,discover
522,identify,can_analyze,system vulnerabilities
523,Metasploit Framework,can_analyze,vulnerability
524,Metasploit Framework,can_analyze,vulnerable
525,Metasploit,uses,computer security
526,information,can_expose,security vulnerabilities
527,open-source,is_part_of,Metasploit Framework
528,Metasploit Framework,is_part_of,tool
529,tool,has_a,exploit code
530,exploit code,can_analyze,remote target machine
531,Metasploit,uses,anti-forensic
532,evasion,has_a,tools
533,tools,is_part_of,Metasploit Framework
534,Metasploit,can_analyze,Kali Linux operating system
535,command-line,has_a,version
536,version,is_part_of,msfconsole
537,msfconsole,can_analyze,Ubuntu Linux
538,Metasploit framework,has_a,exploits
539,exploits,can_analyze,payloads
540,Ruby,has_a,classes
541,plugins,has_a,scripts
542,scripts,can_analyze,user interfaces
543,Metasploit framework,can_analyze,information-
544,tools,is_part_of,auxiliary modules
545,Auxiliary modules,uses,port scanning
546,modules,is_part_of,plugins
547,plugins,has_a,scripts
548,Metasploit,can_analyze,information
549,module,has_a,default
550,msfconsole,can_analyze,user interface
551,graphical user interface,has_a,Metasploit
552,Metasploit,can_analyze,Armitage
553,Kali Linux,has_a,rolling edition
554,rolling edition,is_part_of,Metasploit framework
555,Metasploit framework,is_part_of,msfconsole
556,msfconsole,is_part_of,Metasploit
557,Metasploit,can_analyze,dock
558,Metasploit,has_a,installed
559,installed,can_analyze,system
560,Metasploit,has_a,installed
561,Metasploit,has_a,module
562,msfconsole,has_a,module
563,command line,has_a,exploit
564,exploit,can_analyze,realvnc_client
565,exploit parameters,can_analyze,target
566,msfconsole,has_a,back command
567,Metasploit,has_a,module
568,msfconsole,can_analyze,Linux terminal
569,use command,can_analyze,information
570,name,can_analyze,platform
571,author,uses,targets
572,exploit,can_analyze,ie_execcommand_ua
573,Metasploit,uses,exploits
574,exploits,has_a,Flash player
575,Metasploit,has_a,module
576,module,has_a,names
577,exploits,can_analyze,vulnerable
578,OSVDB ID,can_analyze,platform
579,targets,has_a,advanced
580,show options command,has_a,parameters
581,command line,has_a,exploit
582,show options command,can_analyze,target
583,set command,has_a,name
584,show options command,has_a,SRVHOST
585,msfconsole,can_analyze,payloads
586,set command,can_analyze,payload
587,show targets command,can_analyze,operating systems
588,operating systems,can_expose,vulnerable
589,command,can_analyze,adobe_flash_shader_drawing_fill exploit
590,exploit,can_analyze,targets
591,exploit,can_analyze,targets
592,command set,has_a,target ID
593,target,uses,payloads
594,show advanced command,has_a,advanced options
595,set command,has_a,advanced
596,IDS,is_part_of,IPS
597,IPS,has_a,signatures
598,NOP generators,can_analyze,CPU architecture
599,exploit,can_analyze,payload
600,msfconsole,has_a,exploit
601,Metasploitable 2,can_expose,vulnerable
602,host,has_a,open
603,services,has_a,ports
604,username/password,can_analyze,Metasploitable 2
605,Metasploitable 2,has_a,msfadmin/msfadmin
606,ifconfig command,can_analyze,IP address
607,netdiscover,can_analyze,Kali Linux machine
608,IP addresses,can_analyze,target host
609,Nmap,uses,port scan
610,open ports,can_analyze,services
611,services,has_a,version
612,version,can_analyze,operating system
613,SSH service,has_a,OpenSSH
614,OpenSSH,can_analyze,telnet service
615,services,has_a,ports
616,Metasploitable 2,can_expose,vulnerable
617,services,can_expose,vulnerabilities
618,users,uses,server
619,users,uses,network
620,penetration tester,uses,brute force
621,enumerate,has_a,user accounts
622,user accounts,can_analyze,target machine
623,Rpcclient,can_analyze,Linux
624,connection,can_analyze,samba
625,sessions,can_analyze,legacy systems
626,open port,can_analyze,target host
627,window,has_a,session
628,session,can_analyze,Metasploitable 2
629,users,uses,system
630,Enum4linux,can_analyze,Kali Linux
631,enumerate,can_analyze,Windows
632,hosts,has_a,Perl
633,wrapper,can_analyze,smbclient
634,rpcclient,has_a,nmblookup
635,enum4linux,can_analyze,Metasploitable 2
636,Metasploit,is_part_of,console
637,console,can_analyze,information
638,target,has_a,IP address
639,IP address,can_analyze,Operating System
640,Operating System,has_a,ports
641,opened,can_analyze,vulnerability
642,Metasploit,is_part_of,Nmap
643,Nmap,is_part_of,console
644,Nmap,has_a,output
645,output,can_analyze,information
646,scans,has_a,NSE
647,NSE,uses,ARP Ping Scan
648,NSE,has_a,post scan scripts
649,post scan scripts,can_analyze,vulnerabilities
650,Nmap,can_analyze,security holes
651,exploits,can_detect,hack
652,hack,can_harm,target
653,target,has_a,Metasploit
654,Metasploit,has_a,commands
655,Metasploit,can_detect,backdoor
656,backdoor,is_part_of,hack
657,hack,can_harm,target
658,target,has_a,FTP
659,command shell,can_detect,backdoor
660,ls,can_analyze,targeting system
661,Syslog,can_analyze,Linux
662,Linux,uses,file
663,Syslog,can_analyze,System Log
664,detection,can_analyze,issues
665,architecture,has_a,severity
666,severity,can_analyze,error
667,logs,can_analyze,system messages
668,syslog,is_part_of,rsyslog
669,rsyslog,is_part_of,logging system
670,logging system,can_analyze,system log
671,syslog,can_analyze,syslogconf
672,rsyslog,has_a,configures
673,configures,has_a,/etc/rsyslogd/
674,/etc/rsyslogd/,can_analyze,folder
675,rule,has_a,fields
676,selector field,can_analyze,facility
677,facility,has_a,priority
678,facility,has_a,auth
679,cron,is_part_of,daemon
680,daemon,can_analyze,kern
681,mail,has_a,mark
682,auth,is_part_of,syslog
683,subsystem,uses,message
684,log,can_analyze,mail
685,warn,can_analyze,warning
686,err,can_analyze,error
687,crit,can_analyze,alert
688,severity,can_analyze,message
689,log,has_a,critical
690,critical,can_analyze,Linux machine
691,Linux machine,uses,log file
692,/var/log,can_analyze,criticallog
693,Log,can_analyze,kernel
694,kernel,uses,messages
695,user,uses,terminals
696,firewall,can_analyze,warning
697,node,uses,syslogd
698,logged,can_analyze,disk file
699,Unix/Linux,has_a,domain socket
700,domain socket,can_analyze,log messages
701,syslog,can_analyze,standard C library
702,syslog,has_a,port
703,port,can_analyze,messages
704,remote,can_analyze,messages
705,syslogd,uses,error message
706,kernel,uses,messages
707,remote host,uses,configuration file
708,Ubuntu,uses,rsyslogd
709,configure,can_analyze,syslog
710,log,can_analyze,iptables
711,iptables,uses,messages
712,logged,has_a,/var/log/messages
713,firewall,can_analyze,warning
714,rsyslog,can_analyze,errors
715,firewall,can_analyze,logs
716,print,can_analyze,iptables
717,iptables,uses,logs
718,monitoring,has_a,console
719,logging,can_analyze,kernel
720,kernel,uses,messages
721,ubuntu distribution,uses,rsyslogd
722,setup,has_a,rsyslog
723,rsyslog,has_a,forwarding
724,forwarding,can_analyze,client
725,syslog,is_part_of,Syslog
726,Syslog,can_analyze,syslogd
727,Logging,can_analyze,Linux
728,Linux,has_a,rsyslog
729,rsyslog,is_part_of,syslog
730,syslog,can_analyze,log
731,facilities,has_a,actions
732,Ubuntu system,uses,syslog.conf
733,rsyslog,is_part_of,rsyslog
734,rsyslog,can_analyze,configuration file
735,rsyslog,can_analyze,configuration files
736,/etc/rsyslogd/,can_analyze,folder
737,Default,is_part_of,rsyslog
738,rsyslog,has_a,setup configurations
739,setup configurations,can_analyze,file
740,Selectors,can_analyze,Facility
741,Facility,has_a,Severity Levels
742,/var/log/,can_analyze,Linux
743,location,uses,log files
744,kernel,uses,logs
745,/var/log,can_analyze,files
746,vendors,uses,application
747,machines,uses,logs
748,machine,uses,authlog
749,client,uses,logs
750,rsyslog,can_analyze,machine
751,configured,can_analyze,client-server
752,client-server,has_a,syslog
753,syslog,can_analyze,instances
754,rsyslog,can_analyze,client
755,client,has_a,forward
756,forward,can_analyze,log
757,syslog,is_part_of,rsyslog
758,transmitted,can_analyze,log data
759,module,can_analyze,network
760,network,has_a,down
761,Access,can_analyze,logs
762,access privilege,can_analyze,machines
763,architecture,uses,logs
764,machine,uses,log data
765,centralized system,has_a,single-point failure
766,log server,uses,logs
767,clients,uses,messages
768,locally,can_analyze,server
769,syslog,can_analyze,Ubuntu
770,Ubuntu,uses,rsyslogd
771,configure,can_analyze,rsyslog server
772,rsyslog server,uses,logs
773,templates,can_analyze,files
774,facility,has_a,severity
775,severity,can_analyze,remote server
776,remote server,has_a,template
777,rsyslog,has_a,path
778,path,can_analyze,data
779,computer name,can_analyze,log
780,syslog,can_analyze,facility
781,restart,can_analyze,rsyslog server
782,rsyslog server,has_a,listening
783,server,uses,logs
784,hostname,can_analyze,host
785,rsyslog,can_analyze,client
786,Restart,can_analyze,rsyslog server
787,rsyslog server,uses,errors
788,server side,uses,folder
789,client,has_a,hostname
790,hostname,can_analyze,ubuntu
791,logging,can_analyze,kernel
792,kernel,uses,messages
793,firewall,can_analyze,warning
794,Restart,can_analyze,rsyslog server
795,rsyslog server,uses,errors
796,syslog,has_a,log
797,log,can_analyze,iptables
798,iptables,uses,messages
799,logged,can_analyze,remote server
800,log-level,can_analyze,warning
801,firewall,can_analyze,logs
