,Unnamed: 0,Unnamed: 0.1,DocNo,Sno,sentence,tag,c1,c2,compare
82,82,82,D1,42,Detection alert is added to IP packets,B-tool I-tool O O O B-data I-data,7,7,1
83,83,83,,0,,,0,0,1
84,84,84,D1,43,Snort rules is tested using icmp rules,B-function I-function O O O B-function I-function,7,7,1
85,85,85,,0,,,0,0,1
86,86,86,D1,44,Snort rules is tested using system variables,B-function I-function O O O B-data I-data,7,7,1
87,87,87,,0,,,0,0,1
88,88,88,D1,45,system variables can be edited in conf file,B-data I-data O O O O B-data I-data,8,8,1
89,89,89,,0,,,0,0,1
90,90,90,D1,46,system variables can be set as home network,B-data I-data O O O O B-system I-system,8,8,1
91,91,91,,0,,,0,0,1
92,92,92,D1,47,system variables can be set external network,B-data I-data O O O B-system I-system,7,7,1
93,93,93,,0,,,0,0,1
94,94,94,D1,48,Snort rules is tested using payload options,B-function I-function O O O B-feature I-feature,7,7,1
95,95,95,,0,,,0,0,1
96,96,96,D1,49,payload options shows captured data,B-feature I-feature O O B-data,5,5,1
97,97,97,,0,,,0,0,1
98,98,98,D1,50,Snort rules is tested using non payload options,B-function I-function O O O B-feature I-feature I-feature,8,8,1
99,99,99,,0,,,0,0,1
100,100,100,D1,51,Network is set as client gateway server,B-system O O O B-system I-system I-system,7,7,1
101,101,101,,0,,,0,0,1
102,102,102,D1,52,Packet forwarding enabled on Gateway,B-feature I-feature O O B-system,5,5,1
103,103,103,,0,,,0,0,1
104,104,104,D1,53,Firewall set to sniff server,B-tool O O B-technique B-system ,5,5,1
105,105,105,,0,,,0,0,1
106,106,106,D1,54,Firewall disabled for testing,B-tool O O B-function,4,4,1
107,107,107,,0,,,0,0,1
108,108,108,D1,55,Blacklist enabled for testing,B-feature O O B-function,4,4,1
109,109,109,,0,,,0,0,1
110,110,110,D1,56,Land Attack sends spoofed TCP SYN Packets,B-attack I-attack O B-vulnerability B-data I-data I-data,7,7,1
111,111,111,,0,,,0,0,1
112,112,112,D2,57,Nmap is an open source tool,B-tool O O B-feature I-feature B-tool,6,6,1
113,113,113,,0,,,0,0,1
114,114,114,D2,58,Nmap is used for network discovery,B-tool O O O B-technique I-technique,6,6,1
115,115,115,,0,,,0,0,1
116,116,116,D2,59,Nmap is used for security auditing,B-tool O O O B-technique I-technique,6,6,1
117,117,117,,0,,,0,0,1
118,118,118,D2,60,Nmap displays exposed services on a target machine along with other useful information such as the version and OS detection,B-tool O B-vulnerability B-app O O B-system I-system O O O O B-data O O O B-technique O B-technique I-technique,20,20,1
119,119,119,,0,,,0,0,1
120,120,120,D2,61,Use nmap to send customized packets for network diagnostic and testing,O B-tool O O O B-data O  B-technique I-technique O  B-function,11,11,1
121,121,121,,0,,,0,0,1
122,122,122,D2,62,Use nmap to send customized packets for emulating attacks,O B-tool O O O B-data O O B-attack ,9,9,1
123,123,123,,0,,,0,0,1
124,124,124,D2,63,Nmap is a network mapper that has emerged as one of the most popular free network discovery tools on the market,B-tool O O B-feature I-feature O O O O O O O O O O B-technique I-technique B-tool O O O,21,21,1
125,125,125,,0,,,0,0,1
126,126,126,D2,64,Nmap is now one of the core tools used by network administrators to map their networks,B-tool  O O O O O O B-tool O O B-securityTeam I-securityTeam O B-function O B-system,16,16,1
127,127,127,,0,,,0,0,1
128,128,128,D2,65,The program can find live hosts on a network perform port scanning ping sweeps OS detection and version detection,O B-function O O B-system I-system O O B-system O B-technique I-technique B-technique I-technique B-technique I-technique O B-technique I-technique,19,19,1
129,129,129,,0,,,0,0,1
130,130,130,D2,66,What is Nmap,O O B-tool ,3,3,1
131,131,131,,0,,,0,0,1
132,132,132,D2,67,Nmap is a network scanning tool that uses IP packets to identify all the devices connected to a network and provide information on the services and operating systems they are running,B-tool O O B-technique I-technique B-tool O O B-data I-data O O O O B-system O O O B-system O O B-data O O B-app O B-system I-system O O O,31,31,1
133,133,133,,0,,,0,0,1
134,134,134,D2,68, The program is most commonly used via a command-line interface though GUI front-ends are also available,O O O O O O O O B-tool I-tool O B-tool I-tool O O O,16,16,1
135,135,135,,0,,,0,0,1
136,136,136,D2,69,It is available for many different operating systems such as Linux Free BSD and Gentoo,O O O O O O B-system I-system O O B-system B-system I-system O B-system,15,15,1
137,137,137,,0,,,0,0,1
138,138,138,D2,70,Nmap was developed for enterprise-scale networks and can scan through thousands of connected devices,B-tool O O O B-system I-system O O B-function O O O B-system I-system,14,14,1
139,139,139,,0,,,0,0,1
140,140,140,D2,71,Moreover Nmap has been increasingly used to inspect IoT security,O B-tool O O O O O O B-technique I-technique,10,10,1
141,141,141,,0,,,0,0,1
142,142,142,D2,72,Nmap provides information on every active IP so you can determine if an IP is being used by a legitimate service or an external attacker,B-tool O B-data O O B-feature B-feature O O O O O O B-feature O O O O O B-feature B-app O O B-attacker I-attacker,25,25,1
143,143,143,,0,,,0,0,1
144,144,144,D2,73,Your network as a whole including live hosts open ports and the OS of every connected device,O B-system O O O O B-system I-system B-feature I-feature O O B-system O O B-system I-system,17,17,1
145,145,145,,0,,,0,0,1
146,146,146,D2,74,Vulnerabilities scan your own server to simulate the process that a hacker would use to attack your site,B-vulnerability B-function O O B-system O O O B-technique O O B-attacker O O O B-attack O B-system,18,18,1
147,147,147,,0,,,0,0,1
148,148,148,D2,75,The primary uses of Nmap can be broken into three core processes,O O O O B-tool O O O O O O B-technique,12,12,1
149,149,149,,0,,,0,0,1
150,150,150,D2,76,First the program gives you detailed information on every IP active on your networks and each IP can then be scanned,O O O O O O B-data O O B-feature B-feature O O B-system O O B-feature O O O B-function,21,21,1
151,151,151,,0,,,0,0,1
152,152,152,D2,77,This allows administrators to check whether an IP is being used by a legitimate service or an external attacker,O O B-securityTeam O O O O B-feature O O O O O B-feature I-feature O O B-attacker I-attacker,19,19,1
153,153,153,,0,,,0,0,1
154,154,154,D2,78,Secondly Nmap provides information on your network as a whole,O B-tool O B-data O O B-system O O O,10,10,1
155,155,155,,0,,,0,0,1
156,156,156,D2,79,It can be used to provide a list of live hosts and open ports and identify the OS of every connected device,O O O O O O O O O B-system I-system O B-feature I-feature O O O B-system O O B-system I-system,22,22,1
157,157,157,,0,,,0,0,1
158,158,158,D2,80,This makes it a valuable tool in ongoing system monitoring and a critical part of pentesting,O O O O O B-tool O O B-technique I-technique O O O O O B-technique,16,16,1
159,159,159,,0,,,0,0,1
160,160,160,D2,81,Nmap can be used alongside the Metasploit framework for instance to probe and then repair network vulnerabilities,B-tool O O O O O B-tool I-tool O O O B-technique O On O B-vulnerability I-vulnerability,17,17,1
161,161,161,,0,,,0,0,1
162,162,162,D2,82,Thirdly Nmap has also become a valuable tool for users looking to protect personal and business websites,O B-tool O O O O O B-tool O B-user O O O B-system O B-system I-system,17,17,1
163,163,163,,0,,,0,0,1
164,164,164,D2,83,Using Nmap to scan your own web server particularly if you are hosting your website from home is essentially simulating a hacker process to attack your site,O B-tool O B-technique O O B-system I-system O O O O B-feature O B-system  O B-system O O O O B-attacker B-technique O B-attack O B-system,27,27,1
165,165,165,,0,,,0,0,1
166,166,166,D2,84,Attacking your own site in this way is a powerful way of identifying security vulnerabilities,B-attack O O B-system O O O O O O O O O B-vulnerability I-vulnerability,15,15,1
167,167,167,,0,,,0,0,1
168,168,168,D2,85,Nmap is straightforward to use and most of the tools it provides are familiar to system admins from other programs,B-tool O O O O O O O O B-tool O O O O O  B-securityTeam I-securityTeam O O B-function,20,20,1
169,169,169,,0,,,0,0,1
170,170,170,D2,86,Nmap advantage is that it brings a wide range of these tools into one program rather than forcing you to skip between separate and discrete network monitoring tools,B-tool O O O O O O O O O O B-tool O O B-function O O O O O O O O O O B-technique I-technique B-tool,28,28,1
171,171,171,,0,,,0,0,1
172,172,172,D2,87, To use Nmap you need to be familiar with command-line interfaces, O O B-tool O O O O O O B-tool I-tool,11,11,1
173,173,173,,0,,,0,0,1
174,174,174,D2,88,Most advanced users can write scripts to automate common tasks but this is unnecessary for basic network monitoring,O O B-user O O B-function O B-feature O O O O O O O O B-technique I-technique,18,18,1
175,175,175,,0,,,0,0,1
176,176,176,D2,89,TCP Full Connect Vanilla Scan,B-technique I-technique I-technique I-technique I-technique,5,5,1
177,177,177,,0,,,0,0,1
178,178,178,D2,90,we assume that the scanning target�s IP address ,O O O O B-technique B-system B-feature I-feature,8,8,1
179,179,179,,0,,,0,0,1
180,180,180,D2,91,TCP Connect scan completes the 3-way handshake,B-technique I-technique I-technique O O B-technique I-technique ,7,7,1
181,181,181,,0,,,0,0,1
182,182,182,D2,92,If a port is open the operating system completed the TCP three-way handshake and the port scanner immediately closes the connection to avoid DOS ,O O B-feature O B-feature O B-system I-system O O B-feature B-technique I-technique O O B-tool I-tool O O O B-feature O O B-attack ,24,24,1
183,183,183,,0,,,0,0,1
184,184,184,D2,93,"This is ""noisy because the services can log the sender IP address and trigger Intrusion Detection Systems",O O B-feature O O B-feature O B-function O B-system B-feature I-feature O O B-tool I-tool I-tool,17,17,1
185,185,185,,0,,,0,0,1
186,186,186,D2,94,the Full scan has the following features,O B-technique I-technique O O O O,7,7,1
187,187,187,,0,,,0,0,1
188,188,188,D2,95,Attempts to completes 3-way handshake with each scanned port,O O O B-technique I-technique O O B-vulnerability B-feature,9,9,1
189,189,189,,0,,,0,0,1
190,190,190,D2,96,Sends SYN and waits for ACK before sending ACK,B-function B-feature O O O B-feature O B-function B-feature,9,9,1
191,191,191,,0,,,0,0,1
192,192,192,D2,97,Tears down connection using FIN packets,B-feature I-feature B-feature O B-data I-data,6,6,1
193,193,193,,0,,,0,0,1
194,194,194,D2,98,If target port is closed sender will received either no response a RESET packet  or an ICMP Port Unreachable packet,O B-feature I-feature O B-feature B-system O B-function O O B-feature O B-data I-data O O B-data I-data I-data I-data,20,20,1
195,195,195,,0,,,0,0,1
196,196,196,D2,99,Not stealthy the connection request can be logged,O B-vulnerability O B-feature I-feature O O B-function,8,8,1
197,197,197,,0,,,0,0,1
198,198,198,D2,100,UDP scan checks to see if any UDP ports are listening ,B-technique I-technique O O O O O B-feature I-feature O B-feature ,11,11,1
199,199,199,,0,,,0,0,1
200,200,200,D2,101,Since UDP does not respond with a positive acknowledgment like TCP and only responds to an incoming UDP packet when the port is closed this type of scan can sometimes show false positives ,O B-feature O O B-feature O O B-feature I-feature O B-feature O O B-feature O O B-feature B-data I-data O O B-feature O B-feature O O O B-technique O O O B-feature I-feature ,33,33,1
201,201,201,,0,,,0,0,1
202,202,202,D2,102,However it can also reveal Trojan horses running on high UDP ports and hidden RPC services,O O O O B-feature B-attack I-attack O O B-feature I-feature I-feature  O B-vulnerability I-vulnerability I-vulnerability,16,16,1
203,203,203,,0,,,0,0,1
204,204,204,D2,103,It may be quite slow since some machines intentionally slow down responses to this kind of traffic to avoid being overwhelmed ,O O O O O O O B-system O B-feature I-feature I-feature O O O O B-data O O O O ,21,21,1
205,205,205,,0,,,0,0,1
206,206,206,D2,104,Machines running Windows OS however do not implement this slowdown feature so you should use UDP to scan Windows hosts normally,B-system O B-system I-system O O O O O B-feature I-feature O O O O B-feature O B-technique B-system B-system  O,21,21,1
207,207,207,,0,,,0,0,1
208,208,208,D2,105,The UDP Scan sends a UDP packet to target ports to determine if a UDP service is listening,O B-technique I-technique O O B-data I-data O B-feature I-feature O O O O B-feature I-feature O B-feature,18,18,1
209,209,209,,0,,,0,0,1
210,210,210,D2,106,If the target system returns an ICMP Port Unreachable message the target port is closed Otherwise the target port is assumed to be open,O O B-system I-system O O B-data I-data I-data I-data O B-feature I-feature O B-feature O O B-feature I-feature O O O O B-feature,24,24,1
211,211,211,,0,,,0,0,1
212,212,212,D2,107,UDP scan is unreliable since there may be false positives,B-technique I-technique O O O O O O B-feature I-feature,10,10,1
213,213,213,,0,,,0,0,1
214,214,214,D2,108,The UDP scan can be very slow due to the following reasons,O B-technique I-technique O O O B-feature O O O O O,12,12,1
215,215,215,,0,,,0,0,1
216,216,216,D2,109,Open and filtered ports rarely send any response leaving Nmap to time out,B-feature O B-feature I-feature O B-function O B-feature O B-tool O B-feature I-feature,13,13,1
217,217,217,,0,,,0,0,1
218,218,218,D2,110,Closed ports usually send back an ICMP port unreachable error But many hosts rate limit ICMP port unreachable messages by default eg 1/sec,B-feature I-feature O O O O B-data I-data I-data I-data O O B-system B-technique I-technique B-data I-data I-data I-data O B-feature O O,23,23,1
219,219,219,,0,,,0,0,1
220,220,220,D2,111,To speed up the UDP scan Increase host parallelism use min-hostgroup to scan multiple hosts at once,O O O O B-technique I-technique O B-feature O B-feature I-feature O B-technique O B-system O O,17,17,1
221,221,221,,0,,,0,0,1
222,222,222,D2,112,Scan popular ports first using the -F option to scan the most common UDP ports,B-technique O B-feature O O O O O O B-technique O O O B-feature I-feature,15,15,1
223,223,223,,0,,,0,0,1
224,224,224,D2,113,Add version-intensity 0 to version detection scans,O B-feature O O B-technique I-technique B-technique,7,7,1
225,225,225,,0,,,0,0,1
226,226,226,D2,114,Scan from behind the firewall,B-technique O B-feature I-feature I-feature ,5,5,1
227,227,227,,0,,,0,0,1
228,228,228,D2,115,Use host-timeout to skip slow hosts,O B-feature O O B-system I-system,6,6,1
229,229,229,,0,,,0,0,1
230,230,230,D2,116,Use -v verbosity and chill out Nmap provides estimated time for scan completion of each host,O O B-feature O B-feature I-feature B-tool O O O O B-technique O O O B-system,16,16,1
231,231,231,,0,,,0,0,1
232,232,232,D2,117,SYN scan is another form of TCP scanning ,B-technique I-technique O O O O B-technique I-technique ,8,8,1
233,233,233,,0,,,0,0,1
234,234,234,D2,118,Rather than using the operating system�s network functions the port scanner generates raw IP packets and monitors for responses ,O O O O B-system I-system  B-function I-function O B-tool I-tool O B-data I-data I-data O B-technique O B-feature ,19,19,1
235,235,235,,0,,,0,0,1
236,236,236,D2,119,This scan type is also known as “half-open scanning because it never actually opens a full TCP connection ,O B-technique O O O O O B-technique I-technique O O O O B-feature O B-feature I-feature I-feature ,18,18,1
237,237,237,,0,,,0,0,1
238,238,238,D2,120,The port scanner generates a SYN packet ,O B-tool I-tool O O B-data I-data ,7,7,1
239,239,239,,0,,,0,0,1
240,240,240,D2,121,If the target port is open it will respond with an SYN-ACK packet,O O B-feature I-feature O B-feature O O B-feature O O B-data I-data ,13,13,1
241,241,241,,0,,,0,0,1
242,242,242,D2,122,The scanner host responds with an RST packet closing the connection before the handshake is completed,O B-tool B-system B-feature O O B-data I-data B-feature O B-feature O O B-technique O O,16,16,1
243,243,243,,0,,,0,0,1
244,244,244,D2,123,If the port is closed but unfiltered the target will instantly respond with an RST packet ,O O B-feature O B-feature O B-feature O B-system O O B-feature O O B-data I-data ,16,16,1
245,245,245,,0,,,0,0,1
246,246,246,D2,124,There is debate over which scan is less intrusive on the target host ,O O O O O B-technique O O B-attack O O B-system I-system,13,13,1
247,247,247,,0,,,0,0,1
248,248,248,D2,125,SYN scan has the advantage that the individual services never actually receive a connection,B-technique I-technique O O O O O O B-feature O O B-function O B-feature,14,14,1
249,249,249,,0,,,0,0,1
250,250,250,D2,126,Only sends the initial SYN and waits for ACK to detect open port,O O O O B-feature O O O B-feature O B-technique B-feature I-feature,13,13,1
251,251,251,,0,,,0,0,1
252,252,252,D2,127,SYN scans stop two-thirds of the way through the 3-way handshake aka half-open scan,B-technique I-technique O O O O O O O B-technique I-technique O B-technique  I-technique,14,14,1
253,253,253,,0,,,0,0,1
254,254,254,D2,128,Attacker sends a RESET RST after receiving an SYN-ACK response,B-attacker O O B-feature I-feature O B-feature O B-feature I-feature ,10,10,1
255,255,255,,0,,,0,0,1
256,256,256,D2,129,A true connection is never established thus the target may not log the connection,O O B-feature O O B-feature O O B-system O O B-function O B-feature,14,14,1
257,257,257,,0,,,0,0,1
258,258,258,D2,130,Faster and stealthier than a full TCP Connect scans,O O B-vulnerability O O B-technique I-technique I-technique I-technique,9,9,1
259,259,259,,0,,,0,0,1
260,260,260,D2,131,If the target port is closed the destination will send a RESET or nothing,O O B-feature I-feature O B-feature O B-system O O O B-feature O O,14,14,1
261,261,261,,0,,,0,0,1
262,262,262,D2,132,SYN flood may cause accidental denial-of-service attacks if the target is slow,B-attack I-attack O O B-attack B-attack I-attack O O B-system O B-feature,12,12,1
263,263,263,,0,,,0,0,1
264,264,264,D2,133,FIN scan is a stealthy scan like the SYN scan but sends a TCP FIN packet instead ,B-technique I-technique O O B-technique I-technique O O B-technique I-technique O B-function O B-data I-data I-data O,17,17,1
265,265,265,,0,,,0,0,1
266,266,266,D2,134,Most but not all computers will send an RST packet back if they get this input so that the FIN scan can show false positives and negatives but it may get under the radar of some IDS programs and other countermeasures,O O O O O O O O B-data I-data O O O O O B-feature O O O B-technique I-technique O O B-feature I-feature O B-feature O O O O O O O O O B-tool B-function O O O,41,41,1
267,267,267,,0,,,0,0,1
268,268,268,D2,135,Ack scanning determines whether the port is filtered or not ,B-technique I-technique O O O B-feature O B-feature O O ,10,10,1
269,269,269,,0,,,0,0,1
270,270,270,D2,136,This is especially good when attempting to probe for the existence of a firewall and its rulesets ,O O O O O O O B-technique O O O O O B-tool O O B-function ,17,17,1
271,271,271,,0,,,0,0,1
272,272,272,D2,137,Simple packet filtering will allow established connections packets with the ACK bit set whereas a more sophisticated stateful firewall might not,O B-technique I-technique O O B-feature I-feature B-data O O I-data I-data O O O O O B-feature B-tool O O,21,21,1
273,273,273,,0,,,0,0,1
274,274,274,D2,138,ACK scan Sends a packet with the ACK code bit set to each target port,B-technique I-technique O O B-data O O B-data I-data I-data I-data O O B-feature I-feature,15,15,1
275,275,275,,0,,,0,0,1
276,276,276,D2,139,Allows the attacker to get past some packet filtering devices,O O B-attacker O O O O B-technique I-technique B-system ,10,10,1
277,277,277,,0,,,0,0,1
278,278,278,D2,140,Allows the attacker to determine what kind of established connections a firewall or router will allow into a network by determining which ports through a firewall allow established connection responses,O O B-attacker O O O O O B-feature I-feature O B-tool O B-system O O O O B-system O O O B-feature O O B-tool O B-feature I-feature B-feature,30,30,1
279,279,279,,0,,,0,0,1
280,280,280,D2,141,"If no response or an ICMP Port Unreachable message is returned Nmap will label the target port as ""filtered meaning that a packet filter is blocking the response",O O B-feature O O B-data I-data I-data I-data O O B-tool O O O B-feature I-feature O B-feature O O O B-technique I-technique O B-feature O B-feature,28,28,1
281,281,281,,0,,,0,0,1
282,282,282,D2,142,Another very stealthy scan that sets all the TCP header flags to off or null ,O O B-technique I-technique O O O O B-feature I-feature I-feature O O O O ,15,15,1
283,283,283,,0,,,0,0,1
284,284,284,D2,143,This is not normally a valid packet and some hosts will not know what to do with this,O O O O O O B-data O O B-system  O O O O O O O O,18,18,1
285,285,285,,0,,,0,0,1
286,286,286,D2,144,Windows operating systems are in this group and scanning them with NULL scans will produce unreliable results ,B-system I-system I-system O O O O O B-technique O O B-technique I-technique O O O O ,17,17,1
287,287,287,,0,,,0,0,1
288,288,288,D2,145,However for non-Windows servers protected by a firewall this can be a way to get through,O O B-system I-system O O O B-tool O O O O O O O O,16,16,1
289,289,289,,0,,,0,0,1
290,290,290,D2,146,XMAS scan is similar to the NULL scan except for all the flags in the TCP header is set to on ,B-technique I-technique O O O O B-technique I-technique O O O O B-feature O O B-feature I-feature O O O O ,21,21,1
291,291,291,,0,,,0,0,1
292,292,292,D2,147,Windows machines won�t respond to this due to the way their TCP stack is implemented ,B-system I-system O B-feature O O O O O O Oir B-feature I-feature O O ,15,15,1
293,293,293,,0,,,0,0,1
294,294,294,D2,148,Xmas scans derive their name from the set of flags that are turned on within a packet ,O O O O O O O O O B-feature O O O O O O B-data,17,17,1
295,295,295,,0,,,0,0,1
296,296,296,D2,149,These scans are designed to manipulate the PSH URG and FIN flags of the TCP header,O B-technique O O O O O B-feature B-feature O B-feature I-feature O O B-feature I-feature,16,16,1
297,297,297,,0,,,0,0,1
298,298,298,D2,150,RPC scan is special type of scan looks for machines answering to RPC Remote Procedure Call services ,B-technique I-technique O O O O B-technique O O B-system O O B-function B-function I-function I-function B-apps ,17,17,1
299,299,299,,0,,,0,0,1
300,300,300,D2,151,RPC which allows remote commands to be run on the machine under certain conditions can be a dangerous service,B-function O O B-function I-function O O O O O B-system  O O O O O O O B-feature,19,19,1
301,301,301,,0,,,0,0,1
302,302,302,D2,152,Since RPC services can run on many different ports it is hard to tell from a normal scan which ones might be running RPC ,O B-app I-app O O O O O B-feature O O O O O O O O B-technique O O O O O B-function,24,24,1
303,303,303,,0,,,0,0,1
304,304,304,D2,153,This scan will probe the ports found open on a machine with commands to show the program name and version if RPC is running ,O B-technique O B-technique O B-feature O B-feature O O B-system O B-function O O O B-function B-feature O B-feature O B-function O O ,24,24,1
305,305,305,,0,,,0,0,1
306,306,306,D2,154,It�s not a bad idea to run one of these scans every often to find out if and where you have these services running,O O O O O O B-function O O O B-technique O O O O O O O O O O O B-feature B-function,24,24,1
307,307,307,,0,,,0,0,1
308,308,308,D2,155,Scans RPC services using all discovered open TCP/UDP ports on the target to send RPC NULL commands ,B-technique B-app I-app O O O B-feature B-feature I-feature O O B-system O O B-function I-function I-function,17,17,1
309,309,309,,0,,,0,0,1
310,310,310,D2,156,Tries to determine if an RPC program is listening at the port and identifies type of RPC program,O O O O O B-function B-function O B-feature O O B-feature O O O O B-function B-function,18,18,1
311,311,311,,0,,,0,0,1
312,312,312,D2,157,IDLE scan is a super stealthy method whereby the scan packets are bounced off an external host,B-technique I-technique O O O B-technique I-technique O O B-technique B-data O O O O B-system I-system,17,17,1
313,313,313,,0,,,0,0,1
314,314,314,D2,158,You don�t need to have control over the other host but it does have to set up and meet certain requirements ,O O O O O O O O O B-system O O O O O O O O O O B-feature ,21,21,1
315,315,315,,0,,,0,0,1
316,316,316,D2,159,"You must input the IP address of our ""zombie host and what port number to use",O O O O B-feature I-feature O O B-system I-system O O B-feature I-feature O O,16,16,1
317,317,317,,0,,,0,0,1
318,318,318,D2,160,It is one of the more controversial options in Nmap since it really only has a use for malicious attacks,O O O O O O O O O B-tool O O O O O O O O B-attack I-attack,20,20,1
319,319,319,,0,,,0,0,1
320,320,320,D2,161,Probe the zombie�s IP ID and record it Forge an SYN packet from the zombie and send it to the desired port on the target,B-technique O B-system B-feature I-feature O O O B-vulnerability O B-data I-data O O B-system O O O O O O B-feature O O B-system,25,25,1
321,321,321,,0,,,0,0,1
322,322,322,D2,162,Depending on the port state the target reaction may or may not cause the zombie IP ID to be incremented,O O O B-feature I-feature O B-system O O O O O O O B-system B-feature I-feature O O O,20,20,1
323,323,323,,0,,,0,0,1
324,324,324,D2,163,Probe the zombie�s IP ID again The target port state is then determined by comparing this new IP ID ,B-technique O B-system B-feature I-feature O O B-system B-feature I-feature O O O O O O O B-feature I-feature,19,19,1
325,325,325,,0,,,0,0,1
