sentence,entity
Vulnerabilities: There is one Metasploitable-2 VM running behind the firewall,B-vulnerability: There is one B-system B-system B-function behind the B-tool 
The pen tester is required to assess the security performance of the firewall and IDS on successfully stop and/or detect deployed attacks.,The  B-securityTeam I-securityTeam is required to B-technique the B-technique I-technique of the B-tool and B-tool on successfully stop and/or B-technique B-function B-attack.
"Location: The pen tester explores the configuration vulnerabilities from outside, i.e., on the client network.","Location: The  B-securityTeam I-securityTeam explores the B-vulnerability I-vulnerability from outside, i.e., on the B-system I-system."
"Assessment: The pen tester needs to develop a pentest report based on the provided template, and provide suggested changes or remediation of firewall and IDS rules to maximally improve the system security. ","B-technique : The  B-securityTeam I-securityTeam needs to develop a B-technique report based on the provided B-feature, and provide suggested changes or remediation of B-tool and B-tool B-function to maximally improve the B-technique I-technique. "
Note that the Metasploitable 2 is used for assessing the firewall and IDS. ,Note that the B-system I-system is used for B-technique the B-tool and B-tool
Note that your pentest focus is to inspect and assess the security strength of the firewall and IDS.,Note that your B-technique focus is to B-technique and B-technique the B-technique strength of the B-tool and B-tool
"Please do not try to resolve any vulnerable issues running on Metasploitable 2, which is purposely designed for pentesting.","Please do not try to B-technique any B-vulnerability I-vulnerability running on B-system I-system, which is purposely designed for B-technique."
"Tools: The pen tester can use various tools provided in the given client VM such as Nmap, hping3, MSF (Metasploit framework), tcpdump, etc. ","Tools: The  B-securityTeam I-securityTeam can use various tools provided in the given B-system I-system such as B-tool, B-tool, B-tool I-tool I-tool, B-tool, etc. "
It should be sufficient to use these tools for this lab.,It should be sufficient to use these B-tool for this lab.
"However, you can use or develop your own tools and testing scripts to perform the security testing.","However, you can use or develop your own B-tool and B-function B-function to B-function the B-technique I-technique."
You should perform your pentesting tasks on the client machine.,You should perform your B-technique tasks on the B-system I-system.
"You can run various tools such as ping, traceroute, nmap, hpings, msfconsole, etc., on the client node.","You can run various B-tool such as B-tool, B-tool, B-tool, B-tool, B-tool, etc., on the B-system I-system."
Gateway Node (Ubuntu 18.04): You need to run iptables firewall and snort to protect the server node based on provided iptables and snort configuration files.,B-system I-system (B-system I-system): You need to B-function B-app B-tool and B-tool to B-feature the B-system I-system based on provided B-app and B-tool B-data I-data.
You can download the iptables configuration files and snort rule files using the following commands:,You can to download the B-app B-data I-data and B-function I-function B-data using the following B-function:
They are shell scripts. ,They are B-function I-function. 
"To make them executable, you can change their permission","To make them executable, you can change their B-feature"
"you need to change the parameter setup at the beginning of the pentest and reset based on your lab running environment, i.e.,  three  interfaces  and  IP addresses.","you need to change the B-feature I-feature at the beginning of the B-technique and B-feature based on your lab running environment, i.e.,  three B-app and  B-feature I-feature"
make sure you have set up your default GW properly on each VM.,make sure you have set up your B-feature GW  properly on each B-system .
Server Node (Metastploitable 2),B-system I-system (B-system I-system)
"details on Metasploitable 2, especially the vulnerable services running on it. ","details on B-system I-system, especially the B-vulnerability B-app running on it. "
You do not need to make any changes or adjustments on the provided Metasploitable 2 virtual machine in this lab.,You do not need to make any changes or adjustments on the provided B-system I-system B-system I-system in this lab.
"In this lab, iptables, snort, Nmap, and Metasploit are four major security services and tools that you will use. ","In this lab,B-feature, B-tool, B-tool, and B-tool are four major B-app I-app and B-tool that you will use. "
"Iptables, firewall, Snort IDS ","B-feature, B-tool, B-tool I-tool"
demonstrate how to successfully deploy attacks through the firewall. ,demonstrate how to successfully B-function B-attack through the B-tool. 
you need to successfully exploit at least two vulnerabilities to compromise the targeted service or application,you need to successfully B-function at least two B-vulnerability to compromise the B-app I-app or B-app
"stop the service, gain access to the command shell, modify data, or service parameters, steal critical data, modify system configuration or setup. ","stop the B-app, gain B-feature to the B-tool I-tool, modify B-data, or B-app B-feature, B-technique B-feature B-data, modify B-feature I-feature or B-system. "
How to identify the vulnerability?,How to B-technique the B-vulnerability?
The steps of using Metasploit to explore the vulnerability,The steps of using B-tool to B-technique the B-vulnerability
Suggest the countermeasure or mitigation solutions based on given firewall rules ,Suggest the B-technique or B-technique I-technique based on given B-function I-function
Detecting and Subverting Firewalls and Intrusion Detection Systems,B-technique and B-technique B-tool and B-tool I-tool I-tool 
firewall setup that you want to perform the pentest,B-tool B-system that you want to B-function the B-technique
"To have better understanding of various scans, you can use firewall reset to clear the firewall rules and set it to blacklist ","To have better understanding of various B-technique, you can use B-tool B-function to clear the B-function I-function and set it to B-feature"
change your scanning target directly to the Metasploitable-2 VM,change your B-technique B-system directly to the B-system I-system B-system
compare scanning responses with the firewall rules.,compare B-technique B-feature with the B-function I-function
you can observe results w/o firewall rules to interpret the scanning outcomes.,you can observe results w/o B-function I-function to interpret the B-technique outcomes.
Nmap and Metasploit Framework are installed on both the Client and Gateway VMs. ,B-tool and B-tool I-tool are installed on both the B-system and B-system I-system. 
"Thus, you can also compare the scanning results on the Client vs on the Gateway, which can help you determine if the firewall successfully defend a scan or attack.","Thus, you can also compare the B-technique results on the B-system vs on the B-system, which can help you determine if the B-tool successfully B-technique a B-technique or B-attack."
Using tcpdump to monitor the traffic from both ingress and egress ports of the gateway is always the best approach to help you understand the actions performed on the Gateway.,Using B-tool to B-technique the B-data from both B-feature and B-feature B-feature of the B-system is always the best approach to help you understand the actions performed on the B-system.
you are not restricted by the enumerated scanning approaches and provided hints. ,you are not restricted by the enumerated B-technique approaches and provided hints. 
"pentest is the art of cyberdefense, and you need to be creative.","B-technique is the art of B-technique, and you need to be creative."
One helpful feature of the TCP protocol is that systems are required by RFC 793 to send a negative response to unexpected connection requests in the form of a TCP RST (reset) packet. ,One helpful feature of the B-feature I-feature is that B-system are required by B-feature I-feature to send a B-feature I-feature to unexpected B-feature I-feature in the form of a B-data I-data I-data I-data. 
The RST packet makes closed ports easy for Nmap to recognize.,The B-data I-data makes B-feature B-feature easy for B-tool to recognize.
"Filtering devices such as firewalls, on the other hand, tend to drop packets destined for disallowed ports.","B-feature B-system such as B-tool, on the other hand, tend to drop B-data destined for disallowed B-feature"
In some cases they send ICMP error messages (usually port unreachable) instead.,In some cases they send B-data I-data I-data (usually B-feature I-feature) instead.
"Because dropped packets and ICMP errors are easily distinguishable from RST packets, Nmap can reliably detect filtered TCP ports from open or closed ones, and it does so automatically.","Because B-data I-data and B-data I-data are easily distinguishable from B-data I-data, B-tool can B-feature B-technique B-feature B-feature I-feature from B-feature or B-feature ones, and it does so automatically."
The ACK scan sends TCP packets with only the ACK bit set. ,The B-technique I-technique sends B-data I-data with only the B-data I-data I-data . 
"Whether ports are open or closed, the target is required by RFC 793 to respond with a RST packet.","Whether B-feature are B-feature or B-feature, the B-system is required by B-feature I-feature to B-feature with a B-data I-data."
Firewalls can block the probe,B-tool can B-feature the B-technique
the firewall usually makes no response or send back an ICMP destination unreachable error. ,the B-tool usually makes no B-feature or send back an B-data I-data I-data I-data
This distinction allows Nmap to report whether the ACK packets are being filtered.,This distinction allows B-tool to report whether the B-data I-data are being B-feature.
The set of filtered ports reported by an Nmap ACK scan is often smaller than for an SYN scan against the same machine because ACK scans are more difficult to filter.,The set of B-feature I-feature reported by an B-tool B-technique I-technique is often smaller than for an B-technique I-technique against the same B-system because B-technique I-technique are more difficult to B-feature.
"Stateless firewall can block incoming SYN packets (without the ACK bit set) is an easy way to do this, but it still allows any ACK packets through. ","B-feature B-tool can B-feature B-feature B-data I-data (without the B-data I-data I-data) is an easy way to do this, but it still allows any B-data I-data through. "
"Blocking those ACK packets is more difficult, because they do not tell which side started the connection.","B-feature those B-data I-data is more difficult, because they do not tell which side started the B-feature."
Run SYN scan and ACK scan and compare difference,Run B-technique I-technique and B-technique I-technique and compare difference
"To block unsolicited ACK packets (as sent by the Nmap ACK scan), while allowing ACK packets belonging to legitimate connections, ","To B-feature B-attack B-data I-data (as sent by the B-tool B-technique I-technique), while allowing B-data I-data belonging to B-feature B-feature,"
firewalls must statefully watch every established connection to determine whether a given ACK is appropriate.,B-tool must B-feature watch every B-feature I-feature to determine whether a given B-feature is appropriate.
Please check the provided iptables firewall rules and check where the stateful firewall policies kicked in. ,Please check the provided B-feature B-tool B-function and check where the B-feature B-tool policies kicked in. 
These stateful firewalls are usually more secure because they can be more restrictive.,These B-feature B-tool are usually more B-feature because they can be more restrictive.
Blocking ACK scans is one extra available restriction. ,B-feature B-technique I-technique is one extra available restriction. 
"The downsides are that they require more resources to function, and a stateful firewall reboot can cause a device to lose state and terminate all established connections passing through it.","The downsides are that they require more resources to function, and a B-feature B-tool B-function can cause a B-system to lose B-feature and terminate all B-feature I-feature passing through it."
"the key analysis point of this task is to check the feedback of Nmap scans with different scanning options to understand the implication of Nmap outputs: filtered, unfiltered, closed, open. ","the key analysis point of this task is to check the feedback of B-tool B-technique with different B-technique options to understand the implication of B-tool B-feature: B-feature, B-feature, B-feature, B-feature. "
What are the implications of the firewall setup according to these feedback.,What are the implications of the B-tool B-system according to these feedback.
Systems running TCP protocol is required by RFC 793 to send a negative response to unexpected connection requests in the form of a TCP RST (reset) packet.,B-system running B-feature I-feature is required by B-feature I-feature to send a B-feature I-feature to unexpected B-feature I-feature in the form of a B-data I-data I-data I-data
the key analysis point of this task is how to infer the deny-by-default firewall policy based on the scanning responses from the firewall.,the key analysis point of this task is how to infer the B-feature B-tool B-feature based on the B-technique B-feature from the B-tool.
"The ACK scan sends TCP packets with only the ACK bit set. Whether ports are open or closed, the target is required by RFC 793 to respond with a RST packet.","The B-feature I-feature sends B-data I-data with only the B-data I-data I-data. Whether B-feature are B-feature or B-feature, the B-system is required by B-feature I-feature to respond with a B-data I-data."
the key analysis point of this task is how to infer stateful or stateless firewall policies setup based on the scanning responses from the firewall.,the key analysis point of this task is how to infer B-feature or B-feature B-tool B-feature B-system based on the B-technique B-feature from the B-tool.
"What is your observation of the responding time of each type of scans, and what is the reason and implications?","What is your observation of the responding time of each type of B-technique, and what is the reason and implications?"
Find at least one accessible (open or closed) port of one machine on the internal network. ,Find at least one accessible (B-feature or B-feature) B-feature of one B-system on the internal B-system. 
The machine chosen should have little network traffic to avoid confusing results. ,The B-system chosen should have little B-data I-data to avoid confusing results. 
Most Linux system does not work,Most B-system I-system does not work
Verify that the machine has predictable IP ID sequences. ,Verify that the B-system has predictable B-feature I-feature sequences. 
"targeting a Windows XP the Nping options request that five SYN packets be sent to port 80, one second apart.","targeting a B-system I-system the B-tool options request that five B-data I-data be sent to B-feature I-feature, one second apart."
Start a flooding to a chosen host ,Start a B-attack to a chosen B-system
Do not use any of the address from the nping node.,Do not use any of the B-feature from the B-tool B-system.
It shows that the IP IDs are increasing by roughly 11 per second instead of one. ,It shows that the B-feature I-feature are increasing by roughly 11 per second instead of one. 
The target (192.168.0.3) is receiving our 10 forged packets per second and responding to each of them.,The B-system (192.168.0.3) is receiving our 10 B-attack I-attack per second and responding to each of them.
Repeat step 3 using spoofed addresses that you suspect may be allowed through the firewall. ,Repeat step 3 using B-vulnerability B-feature that you suspect may be allowed through the B-tool. 
This technique’s result is a list of source address netblocks that are permitted through the firewall and those that are blocked.,This technique’s result is a list of B-system B-feature B-technique that are permitted through the B-tool and those that are B-feature.
UDP is often more difficult because the protocol does not provide acknowledgment of open ports like TCP does. ,B-feature is often more difficult because the B-feature does not provide acknowledgment of B-feature I-feature like B-feature does. 
"Many UDP applications will ignore unexpected packets, leaving the scanner unsure whether the port is open or filtered. ","Many B-feature B-app will ignore unexpected B-data, leaving the B-tool unsure whether the B-feature is B-feature or B-feature. "
what is the implication of “open or filtered” states of the UDP scan?,what is the implication of “B-feature  or B-feature” states of the B-technique I-technique?
how to use Nmap to perform port scanning,how to use B-tool to perform B-technique I-technique
"Based on the scanning results, can you further deploy idle scan and FTP Bounce scan?","Based on the B-technique results, can you further B-function B-technique I-technique and B-technique I-technique I-technique?"
Nmap uses the -g and –source -port options to manipulate source ports of transmitted packets.,B-tool uses the -g and –B-system  B-feature options to manipulate B-system B-feature of B-data I-data.
Many intrusion detection systems have morphed into what marketing departments label intrusion prevention systems.,Many B-tool I-tool I-tool have morphed into what marketing departments label B-tool I-tool I-tool.
Some can only sniff the network like a normal IDS and send triggered packet responses.,Some can only B-technique the B-system like a normal B-tool and send B-feature I-feature I-feature.
The best IPS systems are inline on the network to restrict packet flow when suspicious activity is detected.,The best B-tool I-tool are inline on the B-system to restrict B-feature I-feature when B-vulnerability I-vulnerability is B-technique.
"For example, an IPS may block any further traffic from an IP address that they believe has port scanned them or attempted a buffer overflow exploit.","For example, an B-tool may B-feature any further B-data from an B-feature I-feature that they believe has B-technique I-techniqued them or attempted aB-attack I-attack I-attack."
Attackers are likely to notice this if they port scan a system and cannot connect to the reported open ports.,B-attacker are likely to notice this if they B-technique I-technique a B-system and cannot connect to the reported B-feature I-feature.
Attackers can confirm that they are blocked by trying to connect from another IP address.,B-attacker can confirm that they are B-feature by trying to connect from another B-feature I-feature
Suspicious response packets can also tip-off that an IDS has flagged an attacker’s actions.,B-vulnerability B-data I-data can also tip-off that an B-tool has B-feature an B-attacker actions.
"In particular, many IDSs that are not inline on the network will forge RST packets to tear down connections. ","In particular, many B-tool that are not inline on the B-system will B-vulnerability B-data I-data to tear down B-feature. "
Ways to determine that these packets are forged are covered in the section called “Detecting Packet Forgery by Firewall and Intrusion Detection Systems”. ,Ways to determine that these B-data are B-vulnerability are covered in the section called “B-technique B-attack I-attack by B-tool and B-tool I-tool I-tool”. 
"For example, the Linux iptables system, which offers many methods for rejecting undesired packets by using:","For example, the B-system B-app B-system, which offers many methods for rejecting undesired B-data by using:"
"The type given can be icmp-net-unreachable, icmp-host-unreachable, icmp-port-unreachable, icmp-proto-unreachable, icmp-net-prohibited or icmp-host-prohibited, which return the appropriate ICMP error message (port-unreachable is the default). ","The type given can be B-feature, B-feature, B-feature,B-feature, iB-feature or iB-feature, which return the appropriate B-data I-data I-data (B-feature is the default). "
The option tcp-reset can be used on rules which only match the TCP protocol: ,The option B-feature can be used on B-function which only match the B-feature I-feature: 
this causes a TCP RST packet to be sent back.,this causes a B-data I-data I-data to be sent back.
"This is mainly useful for blocking ident (113/tcp) probes, which frequently occur when sending mail to broken mail hosts (which won’t accept your mail otherwise).","This is mainly useful for B-featureB-feature I-feature B-technique, which frequently occur when sending mail to B-feature B-system I-system (which won’t accept your mail otherwise)."
Forging RST packets by firewalls and IDS or IPS is not particularly common outside of port 113.,B-attack B-data I-data by B-tool and B-tool or B-tool is not particularly common outside of B-feature I-feature.
It can be confusing to legitimate network operators and allows scanners to immediately move on to the next port without waiting on the timeout caused by dropped packets. ,It can be confusing to B-feature B-securityTeam I-securityTeam and allows B-tool to immediately move on to the next B-feature without waiting on the B-feature caused by B-data I-data 
"Such forgery canusually be detected by careful analysis of the RST packet compared to other packets sent by the machine. ","Such B-attack can
usually be B-technique by careful B-technique of the B-data I-data compared to other B-data sent by the B-system. "
you can purposely alter some iptables rules and observe the difference and how the changes can impact your inferences about the firewall setup.,you can purposely alter some B-app B-function and observe the difference and how the changes can impact your inferences about the B-tool B-system.
One way to detect certain IDSs is to watch for unexplained gaps (or suspicious machines) in traceroutes. ,One way to B-technique certain B-tool is to watch for unexplained gaps (or B-vulnerability B-system) in B-tool. 
"While most operating systems include a traceroute command, Nmap offers a faster and more effective alternative with the traceroute option.","While most B-system I-system include a B-tool B-function, B-tool offers a faster and more effective alternative with the B-tool option."
This approach may only detect inline IDSs instead of those that passively sniff the network without being part of the route. ,This approach may only B-technique B-feature B-tool instead of those that B-feature B-technique the B-system without being part of the B-function 
"Additionally, inspect iptables rules and output from Nmap and ping, and explain why the above-issued commands cannot return the path information.","Additionally, B-technique B-app B-function and output from B-tool and B-function, and explain why the above-issued B-function cannot return the path B-data."
The following techniques are used to avoid being detected by the IDS (snort). ,The following techniques are used to avoid being B-technique by the B-tool (B-tool). 
"Your snort can detect many scanning activities, based on the given snort rules,","Your B-tool can B-technique many B-technique activities, based on the given B-function I-function,"
how to configure your scanning parameters in the following given strategies,how to B-function your B-technique B-feature in the following given strategies
"from slow down to DNS proxying, which ones you can deploy in our testing environment.","from B-feature I-feature to B-system I-system, which ones you can B-function in our B-system I-system."
You need to check the rules specified in the given snort local rules.,You need to check the B-function specified in the given B-tool local B-function.
"Based on the following given Nmap scanning methods, design new Nmap scanning commands to avoided being detected by snort rules","Based on the following given B-tool B-technique methods, design new B-tool B-technique B-function to avoided being B-technique by B-function I-function"
Nmap offers several timing modes that can be selected with the -T option to accomplish this. ,B-tool offers several B-feature I-feature that can be selected with the -T option to accomplish this. 
"For example, the -T paranoid option causes Nmap to send just one probe at a time, waiting five minutes between them. ","For example, the -T B-feature I-feature causes B-tool to send just one B-technique at a time, waiting five minutes between them. "
"A large scan may take weeks, but at least it probably will not be detected. ","A large B-technique may take weeks, but at least it probably will not be B-technique. "
"The -T sneaky option is similar, but it only waits 15 seconds between probes. ","The -T B-feature I-feature is similar, but it only waits 15 seconds between B-technique. "
Scatter probes across networks rather than scanning hosts consecutively,Scatter B-technique across B-system rather than B-technique B-system consecutively
IP fragments can be a major problem for intrusion detection systems,B-feature I-feature can be a major problem for B-tool I-tool I-tool
particularly because the handling of oddities such as overlapping fragments and fragmentation assembly timeouts are ambiguous and differ substantially between platforms. ,particularly because the handling of oddities such as B-feature I-feature and B-feature I-feature I-feature are ambiguous and differ substantially between B-system. 
"Thus, the IDS often has to guess at how the remote system will interpret a packet.","Thus, the B-tool often has to guess at how the B-system I-system will interpret a B-data"
An Nmap scan will use tiny IP fragments ,An B-tool B-technique will use B-feature I-feature I-feature
"By default, Nmap will include up to eight bytes of data in each fragment, so a typical 20 or 24 byte (depending on options) TCP packet is sent in three tiny fragments.","By default, B-tool will include up to eight B-data of B-data in each B-feature, so a typical 20 or 24 B-data (depending on options) B-data I-data is sent in three B-feature I-feature"
Every instance of -f adds eight to the maximum fragment data size. ,Every instance of -f adds eight to the maximum B-feature B-feature I-feature. 
"Fragmentation is only supported for Nmap’s raw packet features, including TCP and UDP port scans (except connect scan and FTP bounce scan) and OS detection.","B-technique is only supported for B-tool B-data I-data features, including B-feature and B-feature B-technique I-technique (except B-technique I-technique and B-technique I-technique I-technique) and B-technique I-technique."
Features such as version detection and the Nmap Scripting Engine generally don’t support fragmentation ,B-feature such as B-technique I-technique and the B-tool I-tool I-tool generally don’t support B-technique 
because they rely on your host’s TCP stack to communicate with target services.,because they rely on your B-system B-feature I-feature to communicate withB-app I-app
Decoys are added with the -D option,B-technique are added with the -D option
"The argument is a list of hosts, separated by commas. ","The argument is a list of B-system , separated by commas. "
The string ME can be used as one of the decoys to represent where the true source host should appear in the scan order. ,The string ME can be used as one of the B-technique to represent where the true B-system I-system should appear in the B-technique order. 
"source IP, and Nmap will launch the requested port scan from that given source","B-system B-feature, and B-tool will launch the requested B-technique I-technique from that given B-system  "
"No useful Nmap results will be available since the target will respond to the spoofed IP, and Nmap will not see those responses.","No useful B-tool results will be available since the B-system will respond to the B-vulnerability B-feature, and B-tool will not see those B-feature."
IDS alarms at the target will blame the spoofed source for the scan.,B-tool B-function at the B-system will blame the B-vulnerability source for the B-technique.
"This can be useful for framing innocent parties, casting doubt in the administrator’s mind about his IDS accuracy.","This can be useful for framing innocent parties, casting doubt in the B-securityTeam mind about his B-tool B-feature."
"The idle scan is a clever technique that allows for spoofing the source IP address, as discussed in the previous section, while still obtaining accurate TCP port scan results. ","The B-technique I-technique is a clever technique that allows for B-vulnerability the B-system B-feature I-feature, as discussed in the previous section, while still obtaining accurate B-technique I-technique I-technique results. "
This is done by abusing the properties of the IP identification field as implemented by many systems. ,This is done by abusing the properties of the B-feature I-feature I-feature as implemented by many  B-system. 
"However, most Linux systems are immune to idle scan attacks.","However, most B-system I-system are immune to B-attack I-attack I-attack"
Nmap performs reverse-DNS resolution by default against every responsive host. ,B-tool performs B-function I-function by default against every B-feature B-system. 
These DNS lookup probes could be detected. Even something as unintrusive as a list scan (-sL) could be detected this way. ,These B-function I-function B-technique could be B-technique. Even something as B-feature as a B-technique I-technique (-sL) could be B-technique this way. 
The probes will come from the DNS server configured for the machine running Nmap.,The B-technique will come from the B-system I-system B-function for the B-system running B-tool.
The most effective way to eliminate this risk is to specify -n to disable all reverse DNS resolution. ,The most effective way to eliminate this B-feature is to specify -n to disable all B-function I-function I-function
"You can specify one or more of those name servers to the –dns-servers option of Nmap, and all DNS queries will be proxied through them.","You can specify one or more of those B-system I-system to the B-system I-system option of B-tool, and all B-function I-function will be B-system  through them."
The scanning results derived from task 1 to task 3 allows you to identify potential vulnerabilities to explore. ,The B-technique results derived from task 1 to task 3 allows you to identify potential potential vulnerabilities to B-technique. 
"you need to use Metasploit Framework (msf) to deploy at least two successful attacks, ","you need to use B-tool I-tool  I-tool to B-function at least two successful B-attack, "
"such as stop the service, gain access to the command shell, modify data, or service parameters, steal critical data, modify system configuration/setup. ","such as stop the B-app, gain B-feature to the B-tool I-tool, modify B-data, or B-app B-feature, B-technique B-feature B-data, modify B-feature I-feature or B-system "
you will run the Metasploit Framework (MSF) command-line (CLI) for penetration testing,you will run the B-tool I-tool  I-tool B-tool I-tool for B-technique I-technique
"You will learn how to use Metasploit to discover and identify system vulnerabilities, i.e., running Metasploitable 2.","You will learn how to use B-tool to B-technique and B-technique B-vulnerability I-vulnerability, i.e., running B-system I-system."
Use Metasploit Framework to send vulnerability exploitation packets for vulnerability discovery,Use B-tool I-tool to send B-vulnerability B-data I-data for B-technique I-technique
"Use Metasploit Framework to compromise a vulnerable system, i.e., Metasploitable2.","Use B-tool I-tool to compromise a B-vulnerability B-system, i.e., B-system."
The Metasploit Project is a computer security project that provides information about security vulnerabilities and aids in penetration testing and IDS signature development. ,The B-tool Project is a B-technique I-technique project that provides B-data about B-vulnerability I-vulnerability and aids in B-technique I-technique and B-technique I-technique I-technique. 
"Boston, Massachusetts-based security company Rapid7 owns it. ","Boston, Massachusetts-based B-technique company B-app owns it. "
"Its best-known sub-project is the open-source Metasploit Framework, a tool for developing and executing exploit code against a remote target machine.","Its best-known sub-project is the B-feature B-tool I-tool, a B-tool for developing and executing B-function I-function against a B-system I-system I-system."
"The Metasploit Project includes anti-forensic and evasion tools, some of which are built into the Metasploit Framework. ","The B-tool Project includes B-technique and B-technique B-tool, some of which are built into the B-tool I-tool. "
Metasploit is pre-installed in the Kali Linux operating system. ,B-tool is pre-installed in the B-system I-system I-system I-system
"In this lab, we use the command-line only version, msfconsole, which runs on Ubuntu Linux.","In this lab, we use the B-tool only B-feature, B-tool, which runs on B-system I-system."
"The Metasploit framework consists of the core and base, many exploits, payloads, modules (Ruby classes), plugin’s, scripts, and multiple user interfaces. ","The B-tool I-tool consists of the core and base, many B-function, B-data, B-function (B-tool B-function), B-tool, B-function, and multiple B-app I-app. "
The Metasploit framework also contains some great information- gathering tools called auxiliary modules.,The B-tool I-tool also contains some great B-data gathering B-tool called B-tool I-tool.
"Auxiliary modules can be used for port scanning, service identification, password sniffing, and Windows patch enumeration. ","B-tool I-tool can be used for B-technique I-technique, B-technique I-technique, B-technique I-technique, and B-technique I-technique I-technique. "
"Metasploit is highly customizable for advanced users and can be customized the meet your custom needs by writing your own exploits, modules, plugins, and scripts. ","B-tool is highly customizable for B-user I-user and can be customized the meet your custom needs by writing your own B-function, B-tool, B-tool, and B-function. "
"If Metasploit does not provide the information gathering module you need by default, you can simply write it yourself.","If B-tool does not provide the B-data gathering B-tool you need by B-function, you can simply write it yourself."
"The msfconsole is the user interface known to be the most stable interface, and you can use it to execute external commands like the ping command and the tab auto-completion. ","The B-tool is the B-app I-app known to be the most stable B-app, and you can use it to execute B-function I-function like the B-function I-function and the B-function I-function. "
"A graphical user interface is available for Metasploit called Armitage, which is not covered in this lab.","A B-app I-app I-app is available for B-tool called B-app, which is not covered in this lab."
"If you are on Kali Linux rolling edition, you can start the Metasploit framework and msfconsole by clicking the Metasploit icon in the dock. ","If you are on B-system I-system B-feature I-feature, you can start the B-tool I-tool and B-tool by clicking the B-tool icon in the B-app. "
This will start the PostgreSQL service and Metasploit service automatically.,This will start the B-app I-app and B-app I-app automatically.
You can run the following command to check if Metasploit is installed in your system,You can run the following B-function to check if B-tool is B-function in your B-system
"If Metasploit is not installed, you can follow the procedure below to install Metasploit:","If B-tool is not B-function, you can follow the procedure below to B-function B-tool:"
The use command in Metasploit is used to activate a particular module and changes the context of the msfconsole to that particular module.,The B-function I-function in B-tool is used to activate a particular B-function and changes the context of the B-tool to that particular B-function
The exploit name will be mentioned in red on the command line,The B-function name will be mentioned in red on the B-tool I-tool
"In this example, you have changed the command line’s context to the exploit called realvnc_client. ","In this example, you have changed the B-tool I-tool context to the B-function called B-vulnerability."
"Then, you retrieve information about this exploit, set the required exploit parameters, and run it against a target.","Then, you retrieve B-data about this B-technique, set the required B-function I-function, and run it against a B-system."
"If you want to leave the exploit context and switch back to the msfconsole, you can use the back command. ","If you want to leave the B-function context and switch back to the B-tool, you can use the B-function I-function. "
The back command will take us back to the msfconsole in the general context.,The B-function I-function will take us back to the B-tool in the general context.
You can issue the use command again to switch to another Metasploit module.,You can issue the B-function I-function again to switch to another B-tool B-function.
The exit command will close the msfconsole and will take you back to the Linux terminal.,The B-function I-function will close the B-tool and will take you back to the B-system I-system.
The help command will return a list of possible commands and a description when typed at the msfconsole. ,The B-function I-function will return a list of possible B-function and a description when typed at the B-tool. 
"When an active exploit is selected, you can use the help command to get a list of exploit commands. ","When an active B-function is selected, you can use the B-function I-function to get a list of B-function I-function. "
"When an exploit is selected with the use command, you can retrieve information like the name, platform, author, available targets and a lot more by using the info command. ","When an B-function is selected with the B-function I-function, you can retrieve B-data like the B-feature, B-app, B-user, available B-system and a lot more by using the B-function I-function. "
you can use the info command on an exploit named ie_execcommand_ua,you can use the B-data I-function on an B-function named B-vulnerability
"Metasploit contains over 1.500 different exploits, and new ones are added regularly. ","B-tool contains over 1.500 different B-function, and new ones are added regularly. "
"With this number of exploits, the search function and knowing how to use it becomes very important. ","With this number of B-function, the B-function I-function and knowing how to use it becomes very important. "
"The easiest way of using the search function is by issuing the command search followed by a search term, for example, flash to search for exploits related to Flash player. ","The easiest way of using the B-function I-function is by issuing the B-function B-function followed by a search term, for example, flash to search for B-function related to B-tool I-tool. "
"by using the search command, Metasploit will search for the given search term in the module names and description","by using the B-function I-function, B-tool will search for the given search term in the B-function B-feature and B-feature"
"As expected, there are a lot of exploits related to the often vulnerable Flash player software. ","As expected, there are a lot of B-function related to the often B-vulnerability B-app I-app I-app. "
"For example, the list includes CVE-2015- 5122 Adobe Flash opaqueBackground Use After Free zero-day, which was discovered in the Hacking Team data breach.","For example, the list includes B-vulnerability I-vulnerability  I-vulnerability  I-vulnerability  I-vulnerability  I-vulnerability  I-vulnerability  I-vulnerability, which was discovered in the  B-attacker I-attacker B-attack I-attack."
"You can use the search command with a keyword to search for a specific author, an OSVDB ID, or a platform. ","You can use the B-function I-function with a keyword to search for a specific B-user, an B-feature I-feature, or a B-app. "
"Now, you will be looking at how to show the exploit parameters and change them with the set command. ","Now, you will be looking at how to show the B-feature I-feature and change them with the B-function I-function. "
"You will also be looking at how to show the payloads, targets, advanced, and evasion options.","You will also be looking at how to show the B-data, B-system, B-feature, and B-technique options."
The show options command will show you the available parameters for an exploit if used when the command line is in exploit context. ,The B-function I-function I-function will show you the available B-feature for an B-function if used when the B-tool I-tool is in B-function context. 
The Flash exploit contains a total of 6 options from which only 2 are required,The B-vulnerability I-vulnerability contains a total of 6 options from which only 2 are required
Note that the show options command is returning the currently selected target below the module options.,Note that the B-function I-function I-function  is returning the currently selected B-system  below the B-function options.
"The default target is 0, which is Windows for the selected exploit.","The default B-system is 0, which is B-system  for the selected B-function."
Use the set command followed by the option name and the new value to change the default values,Use the B-function I-function followed by the option B-feature and the new value to change the default values
"By using the show options command again, you can verify that the SRVHOST and SRVPORT values have been changed. ","By using the B-function I-function I-function again, you can verify that the B-feature and B-feature values have been changed. "
