,Unnamed: 0,sentence,tag,entity
85,85,Detection Engine , tool ,"('Detection Engine ', ' tool ')"
86,86,rules , function,"('rules ', ' function')"
87,87, ,, 
88,88,Snort , tool,"('Snort ', ' tool')"
89,89,Log Alert system , tool  ,"('Log Alert system ', ' tool  ')"
90,90, ,, 
91,91,Snort , tool,"('Snort ', ' tool')"
92,92,Output Module , tool ,"('Output Module ', ' tool ')"
93,93, ,, 
94,94,Output Module , tool ,"('Output Module ', ' tool ')"
95,95,output , feature,"('output ', ' feature')"
96,96,type , feature,"('type ', ' feature')"
97,97, ,, 
98,98,Output Module , tool ,"('Output Module ', ' tool ')"
99,99,alerts , feature,"('alerts ', ' feature')"
100,100, ,, 
101,101,Snort , tool,"('Snort ', ' tool')"
102,102,Sniff mode , feature ,"('Sniff mode ', ' feature ')"
103,103, ,, 
104,104,Snort , tool,"('Snort ', ' tool')"
105,105,sniff , technique,"('sniff ', ' technique')"
106,106,Ingress , feature,"('Ingress ', ' feature')"
107,107, ,, 
108,108,Snort , tool,"('Snort ', ' tool')"
109,109,sniff , technique,"('sniff ', ' technique')"
110,110,Egress , feature,"('Egress ', ' feature')"
111,111, ,, 
112,112,Ingress , feature,"('Ingress ', ' feature')"
113,113,incoming traffic , data ,"('incoming traffic ', ' data ')"
114,114, ,, 
115,115,Snort , tool,"('Snort ', ' tool')"
116,116,sniffs , technique,"('sniffs ', ' technique')"
117,117,firewall traffic , data ,"('firewall traffic ', ' data ')"
118,118, ,, 
119,119,Snort , tool,"('Snort ', ' tool')"
120,120,packet logger , tool ,"('packet logger ', ' tool ')"
121,121, ,, 
122,122,packet logger , tool ,"('packet logger ', ' tool ')"
123,123,data , data,"('data ', ' data')"
124,124,file , data,"('file ', ' data')"
125,125, ,, 
126,126,Snort , tool,"('Snort ', ' tool')"
127,127,tcpdump pcap , data ,"('tcpdump pcap ', ' data ')"
128,128, ,, 
129,129,Snort , tool,"('Snort ', ' tool')"
130,130,unified2 , tool,"('unified2 ', ' tool')"
131,131, ,, 
132,132,Wireshark , tool,"('Wireshark ', ' tool')"
133,133,tcpdump pcap , data ,"('tcpdump pcap ', ' data ')"
134,134, ,, 
135,135,Detection alert , tool ,"('Detection alert ', ' tool ')"
136,136,IP packets , data ,"('IP packets ', ' data ')"
137,137, ,, 
138,138,Snort rules , function ,"('Snort rules ', ' function ')"
139,139,icmp rules , function ,"('icmp rules ', ' function ')"
140,140, ,, 
141,141,Snort rules , function ,"('Snort rules ', ' function ')"
142,142,system variables , data ,"('system variables ', ' data ')"
143,143, ,, 
144,144,system variables , data ,"('system variables ', ' data ')"
145,145,conf file , data ,"('conf file ', ' data ')"
146,146, ,, 
147,147,system variables , data ,"('system variables ', ' data ')"
148,148,home network , system ,"('home network ', ' system ')"
149,149, ,, 
150,150,system variables , data ,"('system variables ', ' data ')"
151,151,external network , system ,"('external network ', ' system ')"
152,152, ,, 
153,153,Snort rules , function ,"('Snort rules ', ' function ')"
154,154,payload options , feature ,"('payload options ', ' feature ')"
155,155, ,, 
156,156,payload options , feature ,"('payload options ', ' feature ')"
157,157,data , data,"('data ', ' data')"
158,158, ,, 
159,159,Snort rules , function ,"('Snort rules ', ' function ')"
160,160,non payload options , feature  ,"('non payload options ', ' feature  ')"
161,161, ,, 
162,162,Network , system,"('Network ', ' system')"
163,163,client gateway server , system  ,"('client gateway server ', ' system  ')"
164,164, ,, 
165,165,Packet forwarding , feature ,"('Packet forwarding ', ' feature ')"
166,166,Gateway , system,"('Gateway ', ' system')"
167,167, ,, 
168,168,Firewall , tool,"('Firewall ', ' tool')"
169,169,sniff , technique,"('sniff ', ' technique')"
170,170,server , system,"('server ', ' system')"
171,171, ,, 
172,172,Firewall , tool,"('Firewall ', ' tool')"
173,173,testing , function,"('testing ', ' function')"
174,174, ,, 
175,175,Blacklist , feature,"('Blacklist ', ' feature')"
176,176,testing , function,"('testing ', ' function')"
177,177, ,, 
178,178,Land Attack , attack ,"('Land Attack ', ' attack ')"
179,179,spoofed , vulnerability,"('spoofed ', ' vulnerability')"
180,180,TCP SYN Packets , data  ,"('TCP SYN Packets ', ' data  ')"
181,181, ,, 
182,182,Nmap , tool,"('Nmap ', ' tool')"
183,183,open source , feature ,"('open source ', ' feature ')"
184,184,tool , tool,"('tool ', ' tool')"
185,185, ,, 
186,186,Nmap , tool,"('Nmap ', ' tool')"
187,187,network discovery , technique ,"('network discovery ', ' technique ')"
188,188, ,, 
189,189,Nmap , tool,"('Nmap ', ' tool')"
190,190,security auditing , technique ,"('security auditing ', ' technique ')"
191,191, ,, 
192,192,Nmap , tool,"('Nmap ', ' tool')"
193,193,exposed , vulnerability,"('exposed ', ' vulnerability')"
194,194,services , app,"('services ', ' app')"
195,195,target machine , system ,"('target machine ', ' system ')"
196,196,information , data,"('information ', ' data')"
197,197,version , technique,"('version ', ' technique')"
198,198,OS detection , technique ,"('OS detection ', ' technique ')"
199,199, ,, 
200,200,nmap , tool,"('nmap ', ' tool')"
201,201,packets , data,"('packets ', ' data')"
202,202,network diagnostic , technique ,"('network diagnostic ', ' technique ')"
203,203,testing , function,"('testing ', ' function')"
204,204, ,, 
205,205,nmap , tool,"('nmap ', ' tool')"
206,206,packets , data,"('packets ', ' data')"
207,207,attacks , attack,"('attacks ', ' attack')"
208,208, ,, 
209,209,Nmap , tool,"('Nmap ', ' tool')"
210,210,network mapper , feature ,"('network mapper ', ' feature ')"
211,211,network discovery , technique ,"('network discovery ', ' technique ')"
212,212,tools , tool,"('tools ', ' tool')"
213,213, ,, 
214,214,Nmap , tool,"('Nmap ', ' tool')"
215,215,tools , tool,"('tools ', ' tool')"
216,216,network administrators , securityTeam ,"('network administrators ', ' securityTeam ')"
217,217,map , function,"('map ', ' function')"
218,218,networks , system,"('networks ', ' system')"
219,219, ,, 
220,220,program , function,"('program ', ' function')"
221,221,live hosts , system ,"('live hosts ', ' system ')"
222,222,network , system,"('network ', ' system')"
223,223,port scanning , technique ,"('port scanning ', ' technique ')"
224,224,ping sweeps , technique ,"('ping sweeps ', ' technique ')"
225,225,OS detection , technique ,"('OS detection ', ' technique ')"
226,226,version detection , technique ,"('version detection ', ' technique ')"
227,227, ,, 
228,228,Nmap , tool,"('Nmap ', ' tool')"
229,229, ,, 
230,230,Nmap , tool,"('Nmap ', ' tool')"
231,231,network scanning , technique ,"('network scanning ', ' technique ')"
232,232,tool , tool,"('tool ', ' tool')"
233,233,IP packets , data ,"('IP packets ', ' data ')"
234,234,devices , system,"('devices ', ' system')"
235,235,network , system,"('network ', ' system')"
236,236,information , data,"('information ', ' data')"
237,237,services , app,"('services ', ' app')"
238,238,operating systems , system ,"('operating systems ', ' system ')"
239,239, ,, 
240,240,command-line interface , tool ,"('command-line interface ', ' tool ')"
241,241,GUI front-ends , tool ,"('GUI front-ends ', ' tool ')"
242,242, ,, 
243,243,operating systems , system ,"('operating systems ', ' system ')"
244,244,Linux , system,"('Linux ', ' system')"
245,245,Free BSD , system ,"('Free BSD ', ' system ')"
246,246,Gentoo , system,"('Gentoo ', ' system')"
247,247, ,, 
248,248,Nmap , tool,"('Nmap ', ' tool')"
249,249,enterprise-scale networks , system ,"('enterprise-scale networks ', ' system ')"
250,250,scan , function,"('scan ', ' function')"
251,251,connected devices , system ,"('connected devices ', ' system ')"
252,252, ,, 
253,253,Nmap , tool,"('Nmap ', ' tool')"
254,254,IoT security , technique ,"('IoT security ', ' technique ')"
255,255, ,, 
256,256,Nmap , tool,"('Nmap ', ' tool')"
257,257,information , data,"('information ', ' data')"
258,258,active , feature,"('active ', ' feature')"
259,259,IP , feature,"('IP ', ' feature')"
260,260,IP , feature,"('IP ', ' feature')"
261,261,legitimate , feature,"('legitimate ', ' feature')"
262,262,service , app,"('service ', ' app')"
263,263,external attacker , attacker er,"('external attacker ', ' attacker er')"
264,264, ,, 
265,265,network , system,"('network ', ' system')"
266,266,live hosts , system ,"('live hosts ', ' system ')"
267,267,open ports , feature ,"('open ports ', ' feature ')"
268,268,OS , system,"('OS ', ' system')"
269,269,connected device , system ,"('connected device ', ' system ')"
270,270, ,, 
271,271,Vulnerabilities , vulnerability,"('Vulnerabilities ', ' vulnerability')"
272,272,scan , function,"('scan ', ' function')"
273,273,server , system,"('server ', ' system')"
274,274,process , technique,"('process ', ' technique')"
275,275,hacker , attacker,"('hacker ', ' attacker')"
276,276,attack , attack,"('attack ', ' attack')"
277,277,site , system,"('site ', ' system')"
278,278, ,, 
279,279,Nmap , tool,"('Nmap ', ' tool')"
280,280,processes , technique,"('processes ', ' technique')"
281,281, ,, 
282,282,information , data,"('information ', ' data')"
283,283,IP , feature,"('IP ', ' feature')"
284,284,active , feature,"('active ', ' feature')"
285,285,networks , system,"('networks ', ' system')"
286,286,IP , feature,"('IP ', ' feature')"
287,287,scanned , function,"('scanned ', ' function')"
288,288, ,, 
289,289,administrators , securityTeam,"('administrators ', ' securityTeam')"
290,290,IP , feature,"('IP ', ' feature')"
291,291,legitimate service , feature ,"('legitimate service ', ' feature ')"
292,292,external attacker , attacker er,"('external attacker ', ' attacker er')"
293,293, ,, 
294,294,Nmap , tool,"('Nmap ', ' tool')"
295,295,information , data,"('information ', ' data')"
296,296,network , system,"('network ', ' system')"
297,297, ,, 
298,298,live hosts , system ,"('live hosts ', ' system ')"
299,299,open ports , feature ,"('open ports ', ' feature ')"
300,300,OS , system,"('OS ', ' system')"
301,301,connected device , system ,"('connected device ', ' system ')"
302,302, ,, 
303,303,tool , tool,"('tool ', ' tool')"
304,304,system monitoring , technique ,"('system monitoring ', ' technique ')"
305,305,pentesting , technique,"('pentesting ', ' technique')"
306,306, ,, 
307,307,Nmap , tool,"('Nmap ', ' tool')"
308,308,Metasploit framework , tool ,"('Metasploit framework ', ' tool ')"
309,309,probe , technique,"('probe ', ' technique')"
310,310,network vulnerabilities , vulnerability ,"('network vulnerabilities ', ' vulnerability ')"
311,311, ,, 
312,312,Nmap , tool,"('Nmap ', ' tool')"
313,313,tool , tool,"('tool ', ' tool')"
314,314,users , user,"('users ', ' user')"
315,315,personal , system,"('personal ', ' system')"
316,316,business websites , system ,"('business websites ', ' system ')"
317,317, ,, 
318,318,Nmap , tool,"('Nmap ', ' tool')"
319,319,scan , technique,"('scan ', ' technique')"
320,320,web server , system ,"('web server ', ' system ')"
321,321,hosting , feature,"('hosting ', ' feature')"
322,322,website , system,"('website ', ' system')"
323,323,home , system,"('home ', ' system')"
324,324,hacker , attacker,"('hacker ', ' attacker')"
325,325,process , technique,"('process ', ' technique')"
326,326,attack , attack,"('attack ', ' attack')"
327,327,site , system,"('site ', ' system')"
328,328, ,, 
329,329,Attacking , attack,"('Attacking ', ' attack')"
330,330,site , system,"('site ', ' system')"
331,331,security vulnerabilities , vulnerability ,"('security vulnerabilities ', ' vulnerability ')"
332,332, ,, 
333,333,Nmap , tool,"('Nmap ', ' tool')"
334,334,tools , tool,"('tools ', ' tool')"
335,335,system admins , securityTeam ,"('system admins ', ' securityTeam ')"
336,336,programs , function,"('programs ', ' function')"
337,337, ,, 
338,338,Nmap , tool,"('Nmap ', ' tool')"
339,339,tools , tool,"('tools ', ' tool')"
340,340,program , function,"('program ', ' function')"
341,341,network monitoring , technique ,"('network monitoring ', ' technique ')"
342,342,tools , tool,"('tools ', ' tool')"
343,343, ,, 
344,344,Nmap , tool,"('Nmap ', ' tool')"
345,345,command-line interfaces , tool ,"('command-line interfaces ', ' tool ')"
346,346, ,, 
347,347,users , user,"('users ', ' user')"
348,348,scripts , function,"('scripts ', ' function')"
349,349,automate , feature,"('automate ', ' feature')"
350,350,network monitoring , technique ,"('network monitoring ', ' technique ')"
351,351, ,, 
352,352,TCP Full Connect Vanilla Scan , technique    ,"('TCP Full Connect Vanilla Scan ', ' technique    ')"
353,353, ,, 
354,354,scanning , technique,"('scanning ', ' technique')"
355,355,target�s , system,"('target�s ', ' system')"
356,356,IP address , feature ,"('IP address ', ' feature ')"
357,357, ,, 
358,358,TCP Connect scan , technique  ,"('TCP Connect scan ', ' technique  ')"
359,359,3-way handshake , technique ,"('3-way handshake ', ' technique ')"
360,360, ,, 
361,361,port , feature,"('port ', ' feature')"
362,362,open , feature,"('open ', ' feature')"
363,363,operating system , system ,"('operating system ', ' system ')"
364,364,TCP , feature,"('TCP ', ' feature')"
365,365,three-way handshake , technique ,"('three-way handshake ', ' technique ')"
366,366,port scanner , tool ,"('port scanner ', ' tool ')"
367,367,connection , feature,"('connection ', ' feature')"
368,368,DOS , attack,"('DOS ', ' attack')"
369,369, ,, 
370,370,noisy , feature,"('noisy ', ' feature')"
371,371,services , feature,"('services ', ' feature')"
372,372,log , function,"('log ', ' function')"
373,373,sender , system,"('sender ', ' system')"
374,374,IP address , feature ,"('IP address ', ' feature ')"
375,375,Intrusion Detection Systems , tool  ,"('Intrusion Detection Systems ', ' tool  ')"
376,376, ,, 
377,377,Full scan , technique ,"('Full scan ', ' technique ')"
378,378, ,, 
379,379,3-way handshake , technique ,"('3-way handshake ', ' technique ')"
380,380,scanned , vulnerability,"('scanned ', ' vulnerability')"
381,381,port , feature,"('port ', ' feature')"
382,382, ,, 
383,383,Sends , function,"('Sends ', ' function')"
384,384,SYN , feature,"('SYN ', ' feature')"
385,385,ACK , feature,"('ACK ', ' feature')"
386,386,sending , function,"('sending ', ' function')"
387,387,ACK , feature,"('ACK ', ' feature')"
388,388, ,, 
389,389,Tears down , feature ,"('Tears down ', ' feature ')"
390,390,connection , feature,"('connection ', ' feature')"
391,391,FIN packets , data ,"('FIN packets ', ' data ')"
392,392, ,, 
393,393,target port , feature ,"('target port ', ' feature ')"
394,394,closed , feature,"('closed ', ' feature')"
395,395,sender , system,"('sender ', ' system')"
396,396,received , function,"('received ', ' function')"
397,397,response , feature,"('response ', ' feature')"
398,398,RESET packet , data ,"('RESET packet ', ' data ')"
399,399,ICMP Port Unreachable packet , data   ,"('ICMP Port Unreachable packet ', ' data   ')"
400,400, ,, 
401,401,stealthy , vulnerability,"('stealthy ', ' vulnerability')"
402,402,connection request , feature ,"('connection request ', ' feature ')"
403,403,logged , function,"('logged ', ' function')"
404,404, ,, 
405,405,UDP scan , technique ,"('UDP scan ', ' technique ')"
406,406,UDP ports , feature ,"('UDP ports ', ' feature ')"
407,407,listening , feature,"('listening ', ' feature')"
408,408, ,, 
409,409,UDP , feature,"('UDP ', ' feature')"
410,410,respond , feature,"('respond ', ' feature')"
411,411,positive acknowledgment , feature ,"('positive acknowledgment ', ' feature ')"
412,412,TCP , feature,"('TCP ', ' feature')"
413,413,responds , feature,"('responds ', ' feature')"
414,414,incoming , feature,"('incoming ', ' feature')"
415,415,UDP packet , data ,"('UDP packet ', ' data ')"
416,416,port , feature,"('port ', ' feature')"
417,417,closed , feature,"('closed ', ' feature')"
418,418,scan , technique,"('scan ', ' technique')"
419,419,FALSE positives , feature ,"('FALSE positives ', ' feature ')"
420,420, ,, 
421,421,reveal , feature,"('reveal ', ' feature')"
422,422,Trojan horses , attack ,"('Trojan horses ', ' attack ')"
423,423,high UDP ports , feature  ,"('high UDP ports ', ' feature  ')"
424,424,hidden RPC services , vulnerability  ,"('hidden RPC services ', ' vulnerability  ')"
425,425, ,, 
426,426,machines , system,"('machines ', ' system')"
427,427,slow down responses , feature  ,"('slow down responses ', ' feature  ')"
428,428,traffic , data,"('traffic ', ' data')"
429,429, ,, 
430,430,Machines , system,"('Machines ', ' system')"
431,431,Windows OS , system ,"('Windows OS ', ' system ')"
432,432,slowdown feature , feature ,"('slowdown feature ', ' feature ')"
433,433,UDP , feature,"('UDP ', ' feature')"
434,434,scan , technique,"('scan ', ' technique')"
435,435,Windows , system,"('Windows ', ' system')"
436,436,hosts , system,"('hosts ', ' system')"
437,437, ,, 
438,438,UDP Scan , technique ,"('UDP Scan ', ' technique ')"
439,439,UDP packet , data ,"('UDP packet ', ' data ')"
440,440,target ports , feature ,"('target ports ', ' feature ')"
441,441,UDP service , feature ,"('UDP service ', ' feature ')"
442,442,listening , feature,"('listening ', ' feature')"
443,443, ,, 
444,444,target system , system ,"('target system ', ' system ')"
445,445,ICMP Port Unreachable message , data   ,"('ICMP Port Unreachable message ', ' data   ')"
446,446,target port , feature ,"('target port ', ' feature ')"
447,447,closed , feature,"('closed ', ' feature')"
448,448,target port , feature ,"('target port ', ' feature ')"
449,449,open , feature,"('open ', ' feature')"
450,450, ,, 
451,451,UDP scan , technique ,"('UDP scan ', ' technique ')"
452,452,FALSE positives , feature ,"('FALSE positives ', ' feature ')"
453,453, ,, 
454,454,UDP scan , technique ,"('UDP scan ', ' technique ')"
455,455,slow , feature,"('slow ', ' feature')"
456,456, ,, 
457,457,Open , feature,"('Open ', ' feature')"
458,458,filtered ports , feature ,"('filtered ports ', ' feature ')"
459,459,send , function,"('send ', ' function')"
460,460,response , feature,"('response ', ' feature')"
461,461,Nmap , tool,"('Nmap ', ' tool')"
462,462,time out , feature ,"('time out ', ' feature ')"
463,463, ,, 
464,464,Closed ports , feature ,"('Closed ports ', ' feature ')"
465,465,ICMP port unreachable error , data   ,"('ICMP port unreachable error ', ' data   ')"
466,466,hosts , system,"('hosts ', ' system')"
467,467,rate limit , technique ,"('rate limit ', ' technique ')"
468,468,ICMP port unreachable messages , data   ,"('ICMP port unreachable messages ', ' data   ')"
469,469,default , feature,"('default ', ' feature')"
470,470, ,, 
471,471,UDP scan , technique ,"('UDP scan ', ' technique ')"
472,472,host , feature,"('host ', ' feature')"
473,473,use min-hostgroup , feature ,"('use min-hostgroup ', ' feature ')"
474,474,scan , technique,"('scan ', ' technique')"
475,475,hosts , system,"('hosts ', ' system')"
476,476, ,, 
477,477,Scan , technique,"('Scan ', ' technique')"
478,478,ports , feature,"('ports ', ' feature')"
479,479,scan , technique,"('scan ', ' technique')"
480,480,UDP ports , feature ,"('UDP ports ', ' feature ')"
481,481, ,, 
482,482,version-intensity , feature,"('version-intensity ', ' feature')"
483,483,version detection , technique ,"('version detection ', ' technique ')"
484,484,scans , technique,"('scans ', ' technique')"
485,485, ,, 
486,486,Scan , technique,"('Scan ', ' technique')"
487,487,behind the firewall , feature  ,"('behind the firewall ', ' feature  ')"
488,488, ,, 
489,489,host-timeout , feature,"('host-timeout ', ' feature')"
490,490,slow hosts , system ,"('slow hosts ', ' system ')"
491,491, ,, 
492,492,verbosity , feature,"('verbosity ', ' feature')"
493,493,chill out , feature ,"('chill out ', ' feature ')"
494,494,Nmap , tool,"('Nmap ', ' tool')"
495,495,scan , technique,"('scan ', ' technique')"
496,496,host , system,"('host ', ' system')"
497,497, ,, 
498,498,SYN scan , technique ,"('SYN scan ', ' technique ')"
499,499,TCP scanning , technique ,"('TCP scanning ', ' technique ')"
500,500, ,, 
501,501,operating system�s , system ,"('operating system�s ', ' system ')"
502,502,network functions , function ,"('network functions ', ' function ')"
503,503,port scanner , tool ,"('port scanner ', ' tool ')"
504,504,raw IP packets , data  ,"('raw IP packets ', ' data  ')"
505,505,monitors , technique,"('monitors ', ' technique')"
506,506,responses , feature,"('responses ', ' feature')"
507,507, ,, 
508,508,scan , technique,"('scan ', ' technique')"
509,509,half-open scanning , technique ,"('half-open scanning ', ' technique ')"
510,510,opens , feature,"('opens ', ' feature')"
511,511,full TCP connection , feature  ,"('full TCP connection ', ' feature  ')"
512,512, ,, 
513,513,port scanner , tool ,"('port scanner ', ' tool ')"
514,514,SYN packet , data ,"('SYN packet ', ' data ')"
515,515, ,, 
516,516,target port , feature ,"('target port ', ' feature ')"
517,517,open , feature,"('open ', ' feature')"
518,518,respond , feature,"('respond ', ' feature')"
519,519,SYN-ACK packet , data ,"('SYN-ACK packet ', ' data ')"
520,520, ,, 
521,521,scanner , tool,"('scanner ', ' tool')"
522,522,host , system,"('host ', ' system')"
523,523,responds , feature,"('responds ', ' feature')"
524,524,RST packet , data ,"('RST packet ', ' data ')"
525,525,closing , feature,"('closing ', ' feature')"
526,526,connection , feature,"('connection ', ' feature')"
527,527,handshake , technique,"('handshake ', ' technique')"
528,528, ,, 
529,529,port , feature,"('port ', ' feature')"
530,530,closed , feature,"('closed ', ' feature')"
531,531,unfiltered , feature,"('unfiltered ', ' feature')"
532,532,target , system,"('target ', ' system')"
533,533,respond , feature,"('respond ', ' feature')"
534,534,RST packet , data ,"('RST packet ', ' data ')"
535,535, ,, 
536,536,scan , technique,"('scan ', ' technique')"
537,537,intrusive , attack,"('intrusive ', ' attack')"
538,538,target host , system ,"('target host ', ' system ')"
539,539, ,, 
540,540,SYN scan , technique ,"('SYN scan ', ' technique ')"
541,541,services , feature,"('services ', ' feature')"
542,542,receive , function,"('receive ', ' function')"
543,543,connection , feature,"('connection ', ' feature')"
544,544, ,, 
545,545,SYN , feature,"('SYN ', ' feature')"
546,546,ACK , feature,"('ACK ', ' feature')"
547,547,detect , technique,"('detect ', ' technique')"
548,548,open port , feature ,"('open port ', ' feature ')"
549,549, ,, 
550,550,SYN scans , technique ,"('SYN scans ', ' technique ')"
551,551,3-way handshake , technique ,"('3-way handshake ', ' technique ')"
552,552,half-open scan , technique ,"('half-open scan ', ' technique ')"
553,553, ,, 
554,554,Attacker , attacker,"('Attacker ', ' attacker')"
555,555,RESET RST , feature ,"('RESET RST ', ' feature ')"
556,556,receiving , feature,"('receiving ', ' feature')"
557,557,SYN-ACK response , feature ,"('SYN-ACK response ', ' feature ')"
558,558, ,, 
559,559,connection , feature,"('connection ', ' feature')"
560,560,established , feature,"('established ', ' feature')"
561,561,target , system,"('target ', ' system')"
562,562,log , function,"('log ', ' function')"
563,563,connection , feature,"('connection ', ' feature')"
564,564, ,, 
565,565,stealthier , vulnerability,"('stealthier ', ' vulnerability')"
566,566,full TCP Connect scans , technique   ,"('full TCP Connect scans ', ' technique   ')"
567,567, ,, 
568,568,target port , feature ,"('target port ', ' feature ')"
569,569,closed , feature,"('closed ', ' feature')"
570,570,destination , system,"('destination ', ' system')"
571,571,RESET , feature,"('RESET ', ' feature')"
572,572, ,, 
573,573,SYN flood , attack ,"('SYN flood ', ' attack ')"
574,574,accidental , attack,"('accidental ', ' attack')"
575,575,denial-of-service attacks , attack ,"('denial-of-service attacks ', ' attack ')"
576,576,target , system,"('target ', ' system')"
577,577,slow , feature,"('slow ', ' feature')"
578,578, ,, 
579,579,FIN scan , technique ,"('FIN scan ', ' technique ')"
580,580,stealthy scan , technique ,"('stealthy scan ', ' technique ')"
581,581,SYN scan , technique ,"('SYN scan ', ' technique ')"
582,582,sends , function,"('sends ', ' function')"
583,583,TCP FIN packet , data  ,"('TCP FIN packet ', ' data  ')"
584,584, ,, 
585,585,RST packet , data ,"('RST packet ', ' data ')"
586,586,input , feature,"('input ', ' feature')"
587,587,FIN scan , technique ,"('FIN scan ', ' technique ')"
588,588,FALSE positives , feature ,"('FALSE positives ', ' feature ')"
589,589,negatives , feature,"('negatives ', ' feature')"
590,590,IDS , tool,"('IDS ', ' tool')"
591,591,programs , function,"('programs ', ' function')"
592,592, ,, 
593,593,Ack scanning , technique ,"('Ack scanning ', ' technique ')"
594,594,port , feature,"('port ', ' feature')"
595,595,filtered , feature,"('filtered ', ' feature')"
596,596, ,, 
597,597,probe , technique,"('probe ', ' technique')"
598,598,firewall , tool,"('firewall ', ' tool')"
599,599,rulesets , function,"('rulesets ', ' function')"
600,600, ,, 
601,601,packet filtering , technique ,"('packet filtering ', ' technique ')"
602,602,established connections , feature ,"('established connections ', ' feature ')"
603,603,packets ACK bit , data  ,"('packets ACK bit ', ' data  ')"
604,604,stateful , feature,"('stateful ', ' feature')"
605,605,firewall , tool,"('firewall ', ' tool')"
606,606, ,, 
607,607,ACK scan , technique ,"('ACK scan ', ' technique ')"
608,608,packet , data,"('packet ', ' data')"
609,609,ACK code bit set , data   ,"('ACK code bit set ', ' data   ')"
610,610,target port , feature ,"('target port ', ' feature ')"
611,611, ,, 
612,612,attacker , attacker,"('attacker ', ' attacker')"
613,613,packet filtering , technique ,"('packet filtering ', ' technique ')"
614,614,devices , system,"('devices ', ' system')"
615,615, ,, 
616,616,attacker , attacker,"('attacker ', ' attacker')"
